# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX-96_08032020-02.sds
# Description: SDS v1.4.1
# User Name: 
# Last Modified Date/Time: 2020-08-04 11:02:54 AM CDT
# Date Created: 2020-08-04 11:02:54 AM CDT
# Barcode: 
# Instrument Type: 7500 Fast System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-08-04 09:32:28 AM CDT
# Plate Run End Date/Time: 2020-08-04 11:02:54 AM CDT
# Run Duration: 90 minutes 26 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"2175170.0"	"519150.75"	"147868.97"
"1"	"A1"	"2"	"2074259.4"	"502573.12"	"141480.83"
"1"	"A1"	"3"	"2059937.5"	"501153.4"	"141194.67"
"1"	"A1"	"4"	"2051843.8"	"499194.38"	"140898.38"
"1"	"A1"	"5"	"2043725.2"	"498281.25"	"140761.31"
"1"	"A1"	"6"	"2042047.1"	"498112.66"	"141283.11"
"1"	"A1"	"7"	"2041334.2"	"497890.44"	"141140.2"
"1"	"A1"	"8"	"2042257.2"	"497876.6"	"141635.17"
"1"	"A1"	"9"	"2040492.9"	"496865.97"	"142156.23"
"1"	"A1"	"10"	"2046066.1"	"497014.97"	"142542.89"
"1"	"A1"	"11"	"2046613.9"	"497076.12"	"143020.52"
"1"	"A1"	"12"	"2049826.5"	"497134.7"	"143161.33"
"1"	"A1"	"13"	"2052505.1"	"497258.34"	"144374.47"
"1"	"A1"	"14"	"2059021.5"	"498292.22"	"144701.97"
"1"	"A1"	"15"	"2082454.1"	"501223.44"	"145862.11"
"1"	"A1"	"16"	"2094175.5"	"503632.78"	"146632.4"
"1"	"A1"	"17"	"2104267.5"	"501309.1"	"147491.39"
"1"	"A1"	"18"	"2106206.2"	"502305.78"	"147883.72"
"1"	"A1"	"19"	"2114247.0"	"503374.62"	"148540.44"
"1"	"A1"	"20"	"2114504.8"	"502837.12"	"149384.2"
"1"	"A1"	"21"	"2121665.0"	"502772.7"	"150039.62"
"1"	"A1"	"22"	"2126764.0"	"502146.1"	"152348.9"
"1"	"A1"	"23"	"2126894.8"	"502836.25"	"155564.16"
"1"	"A1"	"24"	"2140328.5"	"503452.38"	"161922.84"
"1"	"A1"	"25"	"2141230.0"	"503129.9"	"172248.58"
"1"	"A1"	"26"	"2148496.8"	"504623.4"	"191113.56"
"1"	"A1"	"27"	"2148109.2"	"503608.44"	"222561.94"
"1"	"A1"	"28"	"2155664.0"	"504411.53"	"269894.75"
"1"	"A1"	"29"	"2163452.2"	"504441.78"	"333830.4"
"1"	"A1"	"30"	"2165476.5"	"504124.75"	"410033.44"
"1"	"A1"	"31"	"2174541.5"	"504344.03"	"491240.78"
"1"	"A1"	"32"	"2178324.0"	"505019.22"	"575986.6"
"1"	"A1"	"33"	"2182668.5"	"505418.88"	"655257.25"
"1"	"A1"	"34"	"2186456.5"	"506885.06"	"729749.75"
"1"	"A1"	"35"	"2189079.0"	"506552.28"	"793857.44"
"1"	"A1"	"36"	"2191431.5"	"506271.66"	"839142.2"
"1"	"A1"	"37"	"2198346.8"	"506163.75"	"861766.7"
"1"	"A1"	"38"	"2204285.0"	"505775.75"	"872906.06"
"1"	"A1"	"39"	"2209187.8"	"506859.03"	"877049.75"
"1"	"A1"	"40"	"2213278.0"	"507042.6"	"881201.94"
"1"	"A1"	"41"	"2215463.5"	"507347.6"	"884701.2"
"1"	"A1"	"42"	"2221875.0"	"506694.9"	"885584.6"
"1"	"A1"	"43"	"2224631.8"	"507052.4"	"886921.25"
"1"	"A1"	"44"	"2228953.8"	"506404.44"	"889511.94"
"1"	"A1"	"45"	"2232645.2"	"506503.06"	"891633.56"
"2"	"A2"	"1"	"2133321.2"	"520562.06"	"147649.48"
"2"	"A2"	"2"	"2131642.2"	"519781.66"	"147816.12"
"2"	"A2"	"3"	"2132541.5"	"518270.75"	"148195.73"
"2"	"A2"	"4"	"2127664.2"	"516734.12"	"147738.03"
"2"	"A2"	"5"	"2124678.8"	"515528.97"	"147747.3"
"2"	"A2"	"6"	"2122230.8"	"515667.62"	"147734.52"
"2"	"A2"	"7"	"2120228.2"	"514941.84"	"148242.53"
"2"	"A2"	"8"	"2121327.5"	"514293.66"	"148405.89"
"2"	"A2"	"9"	"2113949.8"	"513684.34"	"149214.39"
"2"	"A2"	"10"	"2104182.5"	"512396.5"	"149187.06"
"2"	"A2"	"11"	"2103787.5"	"511468.0"	"149155.1"
"2"	"A2"	"12"	"2102047.5"	"511186.72"	"149214.86"
"2"	"A2"	"13"	"2101685.8"	"510422.8"	"149714.19"
"2"	"A2"	"14"	"2103405.2"	"511595.5"	"150341.42"
"2"	"A2"	"15"	"2103560.8"	"509986.97"	"150806.7"
"2"	"A2"	"16"	"2104963.8"	"510659.4"	"150518.02"
"2"	"A2"	"17"	"2104427.0"	"509775.66"	"151011.84"
"2"	"A2"	"18"	"2103101.2"	"510189.94"	"151167.1"
"2"	"A2"	"19"	"2105278.0"	"509035.94"	"151579.88"
"2"	"A2"	"20"	"2106677.5"	"509532.6"	"152254.16"
"2"	"A2"	"21"	"2106759.5"	"509557.84"	"152319.11"
"2"	"A2"	"22"	"2112262.2"	"509120.34"	"152917.77"
"2"	"A2"	"23"	"2101623.0"	"508318.8"	"153172.64"
"2"	"A2"	"24"	"2138063.0"	"511013.97"	"155129.84"
"2"	"A2"	"25"	"2146310.5"	"510365.4"	"155851.05"
"2"	"A2"	"26"	"2144275.5"	"510745.66"	"157245.5"
"2"	"A2"	"27"	"2152829.8"	"511065.25"	"160202.98"
"2"	"A2"	"28"	"2160487.5"	"511150.38"	"164418.66"
"2"	"A2"	"29"	"2162423.8"	"510563.53"	"171842.4"
"2"	"A2"	"30"	"2162796.0"	"511407.12"	"186188.73"
"2"	"A2"	"31"	"2166753.2"	"510890.16"	"210317.38"
"2"	"A2"	"32"	"2170128.8"	"510781.0"	"248718.67"
"2"	"A2"	"33"	"2169447.5"	"510330.88"	"303733.38"
"2"	"A2"	"34"	"2172035.2"	"510171.72"	"375094.16"
"2"	"A2"	"35"	"2175128.2"	"511132.66"	"457905.84"
"2"	"A2"	"36"	"2178942.8"	"511023.44"	"546088.1"
"2"	"A2"	"37"	"2179152.5"	"510705.38"	"638381.06"
"2"	"A2"	"38"	"2179014.8"	"510603.53"	"730154.2"
"2"	"A2"	"39"	"2184990.5"	"510715.53"	"812196.25"
"2"	"A2"	"40"	"2186172.0"	"511209.97"	"858389.2"
"2"	"A2"	"41"	"2191986.2"	"511375.66"	"880839.7"
"2"	"A2"	"42"	"2188861.0"	"510088.4"	"889763.94"
"2"	"A2"	"43"	"2193661.0"	"509493.84"	"895150.2"
"2"	"A2"	"44"	"2198768.2"	"510112.56"	"900198.06"
"2"	"A2"	"45"	"2196943.0"	"510057.25"	"901445.94"
"3"	"A3"	"1"	"2075788.0"	"510202.4"	"144400.67"
"3"	"A3"	"2"	"2051118.0"	"505148.94"	"143453.62"
"3"	"A3"	"3"	"2055414.5"	"504409.9"	"144084.55"
"3"	"A3"	"4"	"2052119.0"	"502695.84"	"144086.89"
"3"	"A3"	"5"	"2048187.2"	"501874.9"	"143561.67"
"3"	"A3"	"6"	"2045235.8"	"501478.16"	"144291.36"
"3"	"A3"	"7"	"2048281.2"	"501503.75"	"144554.89"
"3"	"A3"	"8"	"2044103.1"	"500654.34"	"144733.45"
"3"	"A3"	"9"	"2044470.0"	"500253.38"	"144835.7"
"3"	"A3"	"10"	"2039404.8"	"499031.2"	"144714.4"
"3"	"A3"	"11"	"2038179.1"	"499980.1"	"145124.56"
"3"	"A3"	"12"	"2039259.0"	"498852.5"	"145528.14"
"3"	"A3"	"13"	"2041526.0"	"499062.2"	"146078.69"
"3"	"A3"	"14"	"2039322.6"	"499078.6"	"146448.33"
"3"	"A3"	"15"	"2039386.8"	"498264.94"	"146502.14"
"3"	"A3"	"16"	"2042159.8"	"498276.6"	"147077.98"
"3"	"A3"	"17"	"2040352.0"	"497767.72"	"147510.66"
"3"	"A3"	"18"	"2039633.1"	"497674.0"	"147856.53"
"3"	"A3"	"19"	"2038551.8"	"497145.25"	"147963.78"
"3"	"A3"	"20"	"2039280.1"	"497501.25"	"148428.62"
"3"	"A3"	"21"	"2041785.5"	"497461.12"	"148970.03"
"3"	"A3"	"22"	"2044366.4"	"497432.0"	"148941.55"
"3"	"A3"	"23"	"2047824.4"	"497109.62"	"149539.9"
"3"	"A3"	"24"	"2060850.0"	"498128.47"	"151090.86"
"3"	"A3"	"25"	"2077500.6"	"498265.94"	"152617.61"
"3"	"A3"	"26"	"2079888.2"	"498792.97"	"153770.83"
"3"	"A3"	"27"	"2086049.0"	"499455.66"	"157417.1"
"3"	"A3"	"28"	"2092891.1"	"499063.5"	"162932.5"
"3"	"A3"	"29"	"2095683.0"	"498954.06"	"172900.61"
"3"	"A3"	"30"	"2096852.0"	"498103.34"	"190951.3"
"3"	"A3"	"31"	"2099370.5"	"498151.78"	"220412.86"
"3"	"A3"	"32"	"2100047.5"	"498507.9"	"265552.12"
"3"	"A3"	"33"	"2105469.2"	"498739.0"	"326201.53"
"3"	"A3"	"34"	"2110618.2"	"498872.25"	"400488.6"
"3"	"A3"	"35"	"2113271.5"	"498681.12"	"482590.3"
"3"	"A3"	"36"	"2116803.0"	"498947.53"	"568557.0"
"3"	"A3"	"37"	"2119019.5"	"499108.1"	"654949.44"
"3"	"A3"	"38"	"2122265.8"	"498686.5"	"739753.25"
"3"	"A3"	"39"	"2125599.8"	"498784.16"	"803949.8"
"3"	"A3"	"40"	"2126304.0"	"497832.66"	"834659.25"
"3"	"A3"	"41"	"2132146.8"	"498636.0"	"847192.6"
"3"	"A3"	"42"	"2135835.0"	"498310.75"	"854364.6"
"3"	"A3"	"43"	"2137684.0"	"498246.12"	"860313.25"
"3"	"A3"	"44"	"2145564.0"	"498234.06"	"863815.0"
"3"	"A3"	"45"	"2145759.8"	"498786.0"	"864985.9"
"4"	"A4"	"1"	"2027482.6"	"498671.53"	"142012.88"
"4"	"A4"	"2"	"1970475.6"	"488636.0"	"138261.72"
"4"	"A4"	"3"	"1955525.1"	"486432.22"	"137771.17"
"4"	"A4"	"4"	"1952207.0"	"485301.28"	"137742.06"
"4"	"A4"	"5"	"1948169.2"	"484115.9"	"138166.12"
"4"	"A4"	"6"	"1949895.9"	"484528.4"	"138237.5"
"4"	"A4"	"7"	"1953375.8"	"484529.34"	"138499.84"
"4"	"A4"	"8"	"1952422.2"	"484569.8"	"139211.16"
"4"	"A4"	"9"	"1950894.0"	"483795.06"	"139061.02"
"4"	"A4"	"10"	"1950503.6"	"482803.25"	"139701.72"
"4"	"A4"	"11"	"1951011.4"	"483081.72"	"139704.66"
"4"	"A4"	"12"	"1951401.9"	"482884.12"	"139836.3"
"4"	"A4"	"13"	"1949860.4"	"481975.12"	"140099.31"
"4"	"A4"	"14"	"1951805.2"	"482232.88"	"140357.86"
"4"	"A4"	"15"	"1953647.1"	"481643.8"	"140990.92"
"4"	"A4"	"16"	"1953798.2"	"482068.34"	"141209.7"
"4"	"A4"	"17"	"1955280.5"	"481324.4"	"141555.77"
"4"	"A4"	"18"	"1956196.9"	"481518.56"	"141895.33"
"4"	"A4"	"19"	"1964512.1"	"481169.47"	"142550.1"
"4"	"A4"	"20"	"1971920.4"	"481635.97"	"142695.89"
"4"	"A4"	"21"	"1977787.8"	"481675.4"	"143802.83"
"4"	"A4"	"22"	"1973321.8"	"479231.1"	"143526.17"
"4"	"A4"	"23"	"1977137.9"	"478960.7"	"144441.69"
"4"	"A4"	"24"	"1984301.5"	"480686.56"	"145991.81"
"4"	"A4"	"25"	"1987143.0"	"479522.78"	"148146.14"
"4"	"A4"	"26"	"1987129.8"	"478783.7"	"151077.8"
"4"	"A4"	"27"	"1989533.8"	"479048.62"	"156693.3"
"4"	"A4"	"28"	"1997173.9"	"478727.9"	"167740.44"
"4"	"A4"	"29"	"2002182.2"	"479407.0"	"186464.97"
"4"	"A4"	"30"	"2002730.1"	"479705.75"	"217892.55"
"4"	"A4"	"31"	"2006394.0"	"480192.8"	"263921.8"
"4"	"A4"	"32"	"2009848.8"	"480049.5"	"324368.06"
"4"	"A4"	"33"	"2014967.0"	"479803.5"	"395693.44"
"4"	"A4"	"34"	"2022663.9"	"480455.06"	"472553.1"
"4"	"A4"	"35"	"2024208.4"	"479898.25"	"551217.1"
"4"	"A4"	"36"	"2027444.6"	"481002.25"	"626102.7"
"4"	"A4"	"37"	"2034111.4"	"481026.97"	"695446.0"
"4"	"A4"	"38"	"2041261.6"	"481175.72"	"751618.8"
"4"	"A4"	"39"	"2046876.6"	"480572.1"	"782410.7"
"4"	"A4"	"40"	"2049458.9"	"481457.8"	"794199.2"
"4"	"A4"	"41"	"2052880.9"	"480946.1"	"798939.7"
"4"	"A4"	"42"	"2054052.5"	"480822.88"	"802163.5"
"4"	"A4"	"43"	"2060454.8"	"480855.5"	"805405.06"
"4"	"A4"	"44"	"2060530.6"	"480354.16"	"808871.2"
"4"	"A4"	"45"	"2062013.4"	"480310.78"	"809428.8"
"5"	"A5"	"1"	"2031968.4"	"496846.25"	"141847.31"
"5"	"A5"	"2"	"1945008.0"	"481602.66"	"135475.23"
"5"	"A5"	"3"	"1946069.9"	"480420.53"	"135968.25"
"5"	"A5"	"4"	"1933795.1"	"479199.47"	"135458.88"
"5"	"A5"	"5"	"1932144.5"	"478568.16"	"135490.12"
"5"	"A5"	"6"	"1933098.1"	"477807.16"	"135456.34"
"5"	"A5"	"7"	"1932201.5"	"477541.38"	"136335.27"
"5"	"A5"	"8"	"1929783.5"	"477317.44"	"136562.7"
"5"	"A5"	"9"	"1932286.8"	"477165.06"	"136737.4"
"5"	"A5"	"10"	"1929037.1"	"476973.4"	"136788.2"
"5"	"A5"	"11"	"1936460.1"	"476877.75"	"137441.94"
"5"	"A5"	"12"	"1933475.2"	"477291.75"	"137908.1"
"5"	"A5"	"13"	"1938666.1"	"476915.7"	"137732.88"
"5"	"A5"	"14"	"1941152.6"	"476995.5"	"138084.45"
"5"	"A5"	"15"	"1937562.9"	"476756.4"	"138320.42"
"5"	"A5"	"16"	"1941264.0"	"477255.8"	"139120.38"
"5"	"A5"	"17"	"1946342.0"	"477146.12"	"138953.33"
"5"	"A5"	"18"	"1944774.2"	"477221.5"	"139338.98"
"5"	"A5"	"19"	"1946904.1"	"477323.62"	"139616.0"
"5"	"A5"	"20"	"1948580.9"	"476763.53"	"140120.36"
"5"	"A5"	"21"	"1949431.2"	"476999.53"	"140490.25"
"5"	"A5"	"22"	"1950594.8"	"477534.25"	"140879.34"
"5"	"A5"	"23"	"1953084.0"	"476888.44"	"141368.8"
"5"	"A5"	"24"	"1959905.5"	"476202.84"	"141676.62"
"5"	"A5"	"25"	"1960691.4"	"477275.6"	"142959.47"
"5"	"A5"	"26"	"1974708.0"	"476781.94"	"143985.11"
"5"	"A5"	"27"	"1982667.9"	"477061.78"	"146569.48"
"5"	"A5"	"28"	"1989120.9"	"476035.1"	"150111.56"
"5"	"A5"	"29"	"1989460.4"	"475787.4"	"156670.03"
"5"	"A5"	"30"	"1996335.9"	"476660.0"	"169052.83"
"5"	"A5"	"31"	"1996826.4"	"476420.66"	"190545.6"
"5"	"A5"	"32"	"1999525.5"	"476684.38"	"224656.45"
"5"	"A5"	"33"	"2008163.2"	"477839.66"	"273999.53"
"5"	"A5"	"34"	"2015874.0"	"477544.62"	"337848.84"
"5"	"A5"	"35"	"2013911.0"	"478018.44"	"410817.56"
"5"	"A5"	"36"	"2020204.8"	"478162.56"	"490663.88"
"5"	"A5"	"37"	"2021155.0"	"478195.53"	"573240.2"
"5"	"A5"	"38"	"2021764.4"	"477311.88"	"659646.6"
"5"	"A5"	"39"	"2024410.1"	"477576.53"	"732376.44"
"5"	"A5"	"40"	"2025397.0"	"477293.53"	"769724.7"
"5"	"A5"	"41"	"2034380.2"	"476915.28"	"784660.94"
"5"	"A5"	"42"	"2034276.9"	"477109.2"	"790890.3"
"5"	"A5"	"43"	"2038503.6"	"476730.12"	"796304.9"
"5"	"A5"	"44"	"2043183.9"	"477624.1"	"799501.56"
"5"	"A5"	"45"	"2045316.9"	"477167.6"	"802126.75"
"6"	"A6"	"1"	"1984567.0"	"494489.4"	"135643.23"
"6"	"A6"	"2"	"1972846.1"	"491232.44"	"135275.45"
"6"	"A6"	"3"	"1949672.6"	"487258.1"	"133808.94"
"6"	"A6"	"4"	"1948283.4"	"486231.97"	"134072.67"
"6"	"A6"	"5"	"1947465.8"	"485439.6"	"134365.56"
"6"	"A6"	"6"	"1948574.5"	"485109.3"	"134384.78"
"6"	"A6"	"7"	"1951118.9"	"485325.1"	"134536.3"
"6"	"A6"	"8"	"1952208.1"	"485124.78"	"134681.45"
"6"	"A6"	"9"	"1954497.0"	"485300.12"	"134847.98"
"6"	"A6"	"10"	"1955028.5"	"484618.56"	"135137.14"
"6"	"A6"	"11"	"1953006.6"	"484408.1"	"134958.03"
"6"	"A6"	"12"	"1953208.4"	"484589.4"	"135320.55"
"6"	"A6"	"13"	"1954589.6"	"484405.53"	"135111.75"
"6"	"A6"	"14"	"1957819.8"	"484947.5"	"135926.95"
"6"	"A6"	"15"	"1957651.4"	"483574.4"	"135347.89"
"6"	"A6"	"16"	"1960259.0"	"483365.0"	"136147.77"
"6"	"A6"	"17"	"1961379.2"	"484541.25"	"136020.0"
"6"	"A6"	"18"	"1963683.2"	"483465.66"	"136391.45"
"6"	"A6"	"19"	"1965471.1"	"483622.47"	"136857.66"
"6"	"A6"	"20"	"1966644.0"	"484381.7"	"137335.31"
"6"	"A6"	"21"	"1967267.2"	"483581.56"	"137077.88"
"6"	"A6"	"22"	"1968144.2"	"483547.06"	"137369.19"
"6"	"A6"	"23"	"1968469.0"	"483522.28"	"137731.86"
"6"	"A6"	"24"	"1972452.9"	"483551.38"	"138173.52"
"6"	"A6"	"25"	"1974390.6"	"483839.84"	"138011.03"
"6"	"A6"	"26"	"1976807.8"	"483324.53"	"138432.58"
"6"	"A6"	"27"	"1976447.2"	"482959.47"	"138799.19"
"6"	"A6"	"28"	"1977833.2"	"483325.5"	"139000.31"
"6"	"A6"	"29"	"1976576.6"	"482543.9"	"138714.67"
"6"	"A6"	"30"	"1975998.9"	"482475.12"	"139188.69"
"6"	"A6"	"31"	"1981189.8"	"481850.0"	"139223.98"
"6"	"A6"	"32"	"1979292.2"	"481430.62"	"139103.12"
"6"	"A6"	"33"	"1984798.4"	"481848.34"	"139689.4"
"6"	"A6"	"34"	"1989084.1"	"481259.28"	"139669.73"
"6"	"A6"	"35"	"1991189.1"	"480753.88"	"140400.12"
"6"	"A6"	"36"	"1992324.8"	"480182.56"	"140296.66"
"6"	"A6"	"37"	"1993874.9"	"480166.25"	"140603.89"
"6"	"A6"	"38"	"1986923.9"	"477381.44"	"139989.19"
"6"	"A6"	"39"	"1993134.5"	"478080.4"	"140601.39"
"6"	"A6"	"40"	"1995898.4"	"478021.3"	"140754.9"
"6"	"A6"	"41"	"1997471.1"	"478026.22"	"141258.06"
"6"	"A6"	"42"	"1999987.0"	"477676.06"	"141273.19"
"6"	"A6"	"43"	"2002651.0"	"476798.62"	"141626.12"
"6"	"A6"	"44"	"2006416.2"	"477841.6"	"141839.27"
"6"	"A6"	"45"	"2007350.8"	"477817.44"	"142149.27"
"7"	"A7"	"1"	"1917457.9"	"477202.53"	"132119.94"
"7"	"A7"	"2"	"1893234.6"	"473279.34"	"130920.34"
"7"	"A7"	"3"	"1890542.6"	"471666.9"	"130991.125"
"7"	"A7"	"4"	"1885592.0"	"470930.88"	"131138.25"
"7"	"A7"	"5"	"1884725.6"	"470361.3"	"130947.41"
