# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07302020-1-2-3.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 06:36:02 PM CDT
# Date Created: 2020-07-30 04:42:21 PM CDT
# Barcode: H390K9LU
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-30 11:45:50 AM CDT
# Plate Run End Date/Time: 2020-07-30 01:36:44 PM CDT
# Run Duration: 110 minutes 53 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"159874.34"	"99872.53"	"26990.922"
"1"	"A1"	"2"	"159416.3"	"99674.48"	"26931.67"
"1"	"A1"	"3"	"158754.45"	"99161.02"	"26793.889"
"1"	"A1"	"4"	"157961.67"	"98365.88"	"26550.58"
"1"	"A1"	"5"	"157631.75"	"98030.05"	"26308.727"
"1"	"A1"	"6"	"157429.05"	"97900.55"	"26296.646"
"1"	"A1"	"7"	"157517.25"	"97761.77"	"26441.188"
"1"	"A1"	"8"	"158068.42"	"97661.31"	"26416.834"
"1"	"A1"	"9"	"158260.06"	"97514.51"	"26389.611"
"1"	"A1"	"10"	"159107.12"	"97755.01"	"26541.488"
"1"	"A1"	"11"	"162973.98"	"99209.58"	"27088.959"
"1"	"A1"	"12"	"167175.89"	"101083.664"	"27850.523"
"1"	"A1"	"13"	"170180.2"	"102383.69"	"28424.803"
"1"	"A1"	"14"	"171264.72"	"102719.69"	"28523.904"
"1"	"A1"	"15"	"173370.25"	"103431.7"	"28618.752"
"1"	"A1"	"16"	"174804.94"	"104180.13"	"28820.225"
"1"	"A1"	"17"	"176450.12"	"104594.96"	"28984.834"
"1"	"A1"	"18"	"178578.75"	"105264.3"	"29463.615"
"1"	"A1"	"19"	"179980.36"	"105673.1"	"29741.566"
"1"	"A1"	"20"	"180872.72"	"105951.78"	"29865.357"
"1"	"A1"	"21"	"181714.95"	"106278.68"	"30226.73"
"1"	"A1"	"22"	"182946.56"	"106724.09"	"30871.852"
"1"	"A1"	"23"	"184253.84"	"107348.14"	"31832.707"
"1"	"A1"	"24"	"185443.28"	"107570.81"	"33300.09"
"1"	"A1"	"25"	"186410.84"	"107990.09"	"36248.297"
"1"	"A1"	"26"	"187537.27"	"108236.1"	"41166.1"
"1"	"A1"	"27"	"188936.5"	"108813.016"	"49376.574"
"1"	"A1"	"28"	"189545.89"	"109132.95"	"61382.35"
"1"	"A1"	"29"	"190102.3"	"109301.21"	"77296.75"
"1"	"A1"	"30"	"191313.72"	"109813.25"	"96477.13"
"1"	"A1"	"31"	"192402.14"	"110078.36"	"117682.875"
"1"	"A1"	"32"	"193535.64"	"110560.88"	"138849.33"
"1"	"A1"	"33"	"194610.56"	"110696.98"	"157944.11"
"1"	"A1"	"34"	"195354.61"	"111123.6"	"171206.03"
"1"	"A1"	"35"	"196224.81"	"111317.63"	"177743.88"
"1"	"A1"	"36"	"196769.98"	"111445.01"	"180932.05"
"1"	"A1"	"37"	"197447.69"	"111532.15"	"182919.02"
"1"	"A1"	"38"	"198101.45"	"111740.125"	"184114.62"
"1"	"A1"	"39"	"198480.16"	"111924.81"	"185197.95"
"1"	"A1"	"40"	"199393.05"	"112227.08"	"186291.33"
"1"	"A1"	"41"	"200198.23"	"112330.12"	"187025.92"
"1"	"A1"	"42"	"200968.42"	"112694.305"	"187986.86"
"1"	"A1"	"43"	"201642.39"	"113010.87"	"188769.25"
"1"	"A1"	"44"	"201993.72"	"113187.305"	"189180.47"
"1"	"A1"	"45"	"202763.52"	"113446.14"	"189690.53"
"2"	"A2"	"1"	"168759.22"	"107062.984"	"31472.395"
"2"	"A2"	"2"	"168570.8"	"106964.5"	"31353.16"
"2"	"A2"	"3"	"167895.38"	"106497.69"	"31308.246"
"2"	"A2"	"4"	"167515.34"	"106006.82"	"31477.242"
"2"	"A2"	"5"	"167098.52"	"105537.78"	"31409.102"
"2"	"A2"	"6"	"166890.47"	"105373.14"	"31141.396"
"2"	"A2"	"7"	"166756.55"	"105322.25"	"31096.129"
"2"	"A2"	"8"	"166754.89"	"105202.914"	"31198.031"
"2"	"A2"	"9"	"166879.42"	"104881.41"	"31319.783"
"2"	"A2"	"10"	"166942.05"	"104779.9"	"31400.521"
"2"	"A2"	"11"	"167085.64"	"104828.56"	"31403.17"
"2"	"A2"	"12"	"168555.22"	"105421.61"	"31654.63"
"2"	"A2"	"13"	"172443.11"	"107061.56"	"32274.16"
"2"	"A2"	"14"	"175573.31"	"107995.16"	"32533.941"
"2"	"A2"	"15"	"177440.86"	"108475.76"	"32676.854"
"2"	"A2"	"16"	"178707.84"	"108862.75"	"32842.12"
"2"	"A2"	"17"	"180125.78"	"109328.555"	"33028.574"
"2"	"A2"	"18"	"181203.95"	"109433.46"	"33286.61"
"2"	"A2"	"19"	"182109.94"	"110073.73"	"33616.05"
"2"	"A2"	"20"	"183501.81"	"110614.734"	"33862.195"
"2"	"A2"	"21"	"185049.73"	"110898.805"	"34028.184"
"2"	"A2"	"22"	"186598.81"	"111373.02"	"34604.48"
"2"	"A2"	"23"	"188676.08"	"112173.07"	"35509.395"
"2"	"A2"	"24"	"190447.89"	"113044.68"	"36722.84"
"2"	"A2"	"25"	"192009.7"	"113670.79"	"39125.668"
"2"	"A2"	"26"	"193274.25"	"114236.68"	"43132.613"
"2"	"A2"	"27"	"193967.31"	"114454.46"	"49681.965"
"2"	"A2"	"28"	"194930.25"	"114725.08"	"59997.336"
"2"	"A2"	"29"	"196477.3"	"115208.94"	"74704.69"
"2"	"A2"	"30"	"197390.08"	"115830.9"	"93335.836"
"2"	"A2"	"31"	"198367.94"	"116221.72"	"114404.16"
"2"	"A2"	"32"	"199609.97"	"116423.78"	"136224.58"
"2"	"A2"	"33"	"200593.0"	"116418.02"	"157089.78"
"2"	"A2"	"34"	"201688.64"	"116941.68"	"174963.44"
"2"	"A2"	"35"	"202741.61"	"117304.95"	"187718.55"
"2"	"A2"	"36"	"203366.05"	"117519.47"	"194519.73"
"2"	"A2"	"37"	"204040.12"	"117654.984"	"197575.67"
"2"	"A2"	"38"	"204828.4"	"117845.445"	"199170.12"
"2"	"A2"	"39"	"205485.34"	"118151.44"	"200101.48"
"2"	"A2"	"40"	"206485.2"	"118330.98"	"200766.25"
"2"	"A2"	"41"	"207325.27"	"118572.125"	"201875.73"
"2"	"A2"	"42"	"208172.1"	"118681.984"	"202171.81"
"2"	"A2"	"43"	"208858.58"	"118780.5"	"202846.27"
"2"	"A2"	"44"	"209361.95"	"118913.88"	"203437.03"
"2"	"A2"	"45"	"209995.88"	"119150.96"	"203775.1"
"3"	"A3"	"1"	"165069.45"	"105740.38"	"32659.303"
"3"	"A3"	"2"	"164978.05"	"105456.81"	"32696.816"
"3"	"A3"	"3"	"164497.25"	"105155.49"	"32461.625"
"3"	"A3"	"4"	"164279.06"	"104801.24"	"32340.072"
"3"	"A3"	"5"	"164113.0"	"104510.15"	"32249.871"
"3"	"A3"	"6"	"163764.9"	"104096.35"	"32222.809"
"3"	"A3"	"7"	"163704.0"	"103998.18"	"32265.988"
"3"	"A3"	"8"	"163861.77"	"104029.88"	"32290.885"
"3"	"A3"	"9"	"164135.73"	"104155.07"	"32196.68"
"3"	"A3"	"10"	"164225.98"	"104140.55"	"32200.777"
"3"	"A3"	"11"	"164479.19"	"104069.266"	"32339.965"
"3"	"A3"	"12"	"166102.2"	"104480.12"	"32573.148"
"3"	"A3"	"13"	"170407.8"	"106410.445"	"33339.938"
"3"	"A3"	"14"	"173586.9"	"107594.516"	"33904.34"
"3"	"A3"	"15"	"175890.5"	"108397.14"	"34167.883"
"3"	"A3"	"16"	"177637.25"	"108848.12"	"34279.25"
"3"	"A3"	"17"	"178806.69"	"109134.81"	"34418.94"
"3"	"A3"	"18"	"179184.8"	"109091.44"	"34427.617"
"3"	"A3"	"19"	"179779.33"	"109321.734"	"34760.906"
"3"	"A3"	"20"	"180134.55"	"109241.87"	"34842.305"
"3"	"A3"	"21"	"180269.8"	"109135.36"	"35003.934"
"3"	"A3"	"22"	"180629.05"	"109129.984"	"35355.395"
"3"	"A3"	"23"	"181797.94"	"109443.51"	"35730.6"
"3"	"A3"	"24"	"182518.31"	"109575.87"	"36656.82"
"3"	"A3"	"25"	"183243.97"	"109766.79"	"38381.37"
"3"	"A3"	"26"	"183891.4"	"109865.664"	"41337.9"
"3"	"A3"	"27"	"184630.53"	"109881.26"	"46297.047"
"3"	"A3"	"28"	"184812.02"	"109921.46"	"54486.586"
"3"	"A3"	"29"	"185343.61"	"110204.36"	"67145.42"
"3"	"A3"	"30"	"186579.69"	"110581.11"	"84587.336"
"3"	"A3"	"31"	"187621.0"	"111042.74"	"105315.29"
"3"	"A3"	"32"	"188265.98"	"111321.27"	"128345.94"
"3"	"A3"	"33"	"188957.56"	"111537.6"	"151706.5"
"3"	"A3"	"34"	"189439.2"	"111579.41"	"172278.6"
"3"	"A3"	"35"	"189994.48"	"111703.38"	"186408.92"
"3"	"A3"	"36"	"190657.58"	"111917.57"	"193327.56"
"3"	"A3"	"37"	"191174.1"	"111981.02"	"196586.06"
"3"	"A3"	"38"	"191569.28"	"111917.875"	"198441.25"
"3"	"A3"	"39"	"191817.3"	"111987.625"	"199272.94"
"3"	"A3"	"40"	"192382.17"	"111828.72"	"200051.88"
"3"	"A3"	"41"	"192748.58"	"111976.97"	"200652.12"
"3"	"A3"	"42"	"193245.88"	"112191.3"	"201076.61"
"3"	"A3"	"43"	"193925.73"	"112133.445"	"201612.56"
"3"	"A3"	"44"	"194176.52"	"112247.586"	"201911.45"
"3"	"A3"	"45"	"194436.8"	"112186.164"	"202158.4"
"4"	"A4"	"1"	"162922.75"	"103336.945"	"32537.053"
"4"	"A4"	"2"	"162669.8"	"103059.12"	"32470.498"
"4"	"A4"	"3"	"162089.4"	"102647.06"	"32382.15"
"4"	"A4"	"4"	"161646.75"	"102314.33"	"32281.469"
"4"	"A4"	"5"	"161515.19"	"102164.43"	"32195.076"
"4"	"A4"	"6"	"161468.05"	"102078.64"	"32200.686"
"4"	"A4"	"7"	"161423.84"	"101869.17"	"32304.035"
"4"	"A4"	"8"	"161476.1"	"101715.305"	"32335.688"
"4"	"A4"	"9"	"161691.19"	"101475.14"	"32307.574"
"4"	"A4"	"10"	"161374.02"	"101263.2"	"32267.574"
"4"	"A4"	"11"	"161944.92"	"101493.41"	"32332.01"
"4"	"A4"	"12"	"165405.92"	"102900.305"	"32789.355"
"4"	"A4"	"13"	"169567.5"	"104528.97"	"33346.94"
"4"	"A4"	"14"	"172120.3"	"105359.35"	"33844.836"
"4"	"A4"	"15"	"172150.36"	"105289.3"	"33836.92"
"4"	"A4"	"16"	"171739.75"	"105067.375"	"33638.434"
"4"	"A4"	"17"	"171729.53"	"105031.86"	"33581.023"
"4"	"A4"	"18"	"172702.28"	"105297.33"	"33860.574"
"4"	"A4"	"19"	"173367.89"	"105525.625"	"33946.71"
"4"	"A4"	"20"	"174585.16"	"105871.09"	"34145.44"
"4"	"A4"	"21"	"175800.19"	"106202.58"	"34215.29"
"4"	"A4"	"22"	"176776.44"	"106526.71"	"34488.277"
"4"	"A4"	"23"	"178187.94"	"107045.57"	"34869.25"
"4"	"A4"	"24"	"180143.4"	"107830.87"	"35366.676"
"4"	"A4"	"25"	"181261.84"	"108316.7"	"36016.195"
"4"	"A4"	"26"	"182294.44"	"108293.375"	"37148.07"
"4"	"A4"	"27"	"183364.02"	"108653.6"	"39195.82"
"4"	"A4"	"28"	"184247.83"	"109113.805"	"42589.367"
"4"	"A4"	"29"	"185174.94"	"109504.99"	"48624.594"
"4"	"A4"	"30"	"186102.7"	"109679.805"	"58310.64"
"4"	"A4"	"31"	"186635.42"	"109900.055"	"72969.97"
"4"	"A4"	"32"	"187306.66"	"110081.79"	"92717.164"
"4"	"A4"	"33"	"188099.44"	"110160.71"	"116721.13"
"4"	"A4"	"34"	"189236.16"	"110422.38"	"143461.38"
"4"	"A4"	"35"	"189965.12"	"110724.78"	"167848.69"
"4"	"A4"	"36"	"191297.73"	"110651.5"	"183965.36"
"4"	"A4"	"37"	"192359.72"	"110864.16"	"192384.61"
"4"	"A4"	"38"	"193369.03"	"110857.37"	"195905.98"
"4"	"A4"	"39"	"194855.58"	"110946.664"	"197969.86"
"4"	"A4"	"40"	"196152.16"	"111010.92"	"198988.75"
"4"	"A4"	"41"	"197204.31"	"111078.27"	"199725.33"
"4"	"A4"	"42"	"198264.5"	"111020.64"	"200283.47"
"4"	"A4"	"43"	"199245.89"	"111212.695"	"201274.05"
"4"	"A4"	"44"	"200333.53"	"111492.73"	"202014.11"
"4"	"A4"	"45"	"200766.44"	"111578.43"	"202127.34"
"5"	"A5"	"1"	"164092.27"	"105817.31"	"33800.17"
"5"	"A5"	"2"	"163898.66"	"105670.2"	"33781.176"
"5"	"A5"	"3"	"163532.45"	"105288.46"	"33733.8"
"5"	"A5"	"4"	"163332.25"	"105070.375"	"33713.027"
"5"	"A5"	"5"	"163010.75"	"104856.83"	"33732.79"
"5"	"A5"	"6"	"162943.89"	"104730.33"	"33617.086"
"5"	"A5"	"7"	"162985.89"	"104601.64"	"33587.523"
"5"	"A5"	"8"	"163010.56"	"104489.22"	"33622.35"
"5"	"A5"	"9"	"163237.39"	"104474.97"	"33687.66"
"5"	"A5"	"10"	"163801.05"	"104589.01"	"33748.254"
"5"	"A5"	"11"	"165059.78"	"105164.03"	"33999.758"
"5"	"A5"	"12"	"169020.02"	"106745.99"	"34523.31"
"5"	"A5"	"13"	"173667.67"	"108800.67"	"35351.812"
"5"	"A5"	"14"	"176040.72"	"109688.17"	"35762.29"
"5"	"A5"	"15"	"176665.36"	"109785.51"	"35908.27"
"5"	"A5"	"16"	"178485.38"	"110232.85"	"36194.773"
"5"	"A5"	"17"	"180713.28"	"110976.99"	"36503.242"
"5"	"A5"	"18"	"181998.19"	"111362.195"	"36722.04"
"5"	"A5"	"19"	"183012.61"	"111819.68"	"36852.355"
"5"	"A5"	"20"	"184140.44"	"112198.03"	"37057.35"
"5"	"A5"	"21"	"185293.33"	"112661.42"	"37309.64"
"5"	"A5"	"22"	"185921.1"	"112882.06"	"37556.69"
"5"	"A5"	"23"	"187040.52"	"113151.31"	"37755.285"
"5"	"A5"	"24"	"188132.72"	"113365.05"	"38066.14"
"5"	"A5"	"25"	"188799.55"	"113711.695"	"38565.316"
"5"	"A5"	"26"	"189754.0"	"113979.85"	"39190.066"
"5"	"A5"	"27"	"191100.44"	"114459.125"	"40570.734"
"5"	"A5"	"28"	"192474.88"	"114465.09"	"42933.094"
"5"	"A5"	"29"	"193365.08"	"114793.74"	"46816.016"
"5"	"A5"	"30"	"193867.52"	"115182.76"	"53659.96"
"5"	"A5"	"31"	"194746.69"	"115323.46"	"64429.92"
"5"	"A5"	"32"	"195744.94"	"115582.92"	"80146.18"
"5"	"A5"	"33"	"196170.0"	"115871.74"	"100752.84"
"5"	"A5"	"34"	"197170.77"	"116171.82"	"124752.92"
"5"	"A5"	"35"	"197962.66"	"116404.72"	"150436.53"
"5"	"A5"	"36"	"198723.66"	"116592.18"	"175804.3"
"5"	"A5"	"37"	"200023.97"	"116904.4"	"195614.86"
"5"	"A5"	"38"	"200685.94"	"117065.66"	"207053.34"
"5"	"A5"	"39"	"201486.16"	"117251.53"	"212246.97"
"5"	"A5"	"40"	"201942.08"	"117402.92"	"214683.03"
"5"	"A5"	"41"	"202637.08"	"117490.23"	"216150.44"
"5"	"A5"	"42"	"203510.38"	"117693.875"	"217071.36"
"5"	"A5"	"43"	"204072.03"	"118045.98"	"218078.6"
"5"	"A5"	"44"	"204621.62"	"118091.16"	"219080.72"
"5"	"A5"	"45"	"204816.36"	"118126.6"	"219684.22"
"6"	"A6"	"1"	"157880.2"	"99305.555"	"33563.79"
"6"	"A6"	"2"	"157642.97"	"99090.88"	"33536.734"
"6"	"A6"	"3"	"157208.47"	"98716.47"	"33512.242"
"6"	"A6"	"4"	"156891.11"	"98438.305"	"33514.363"
"6"	"A6"	"5"	"156535.2"	"98050.32"	"33430.18"
"6"	"A6"	"6"	"155760.27"	"97488.695"	"33227.28"
"6"	"A6"	"7"	"155976.39"	"97426.52"	"33182.465"
"6"	"A6"	"8"	"159285.44"	"98475.18"	"33502.496"
"6"	"A6"	"9"	"166582.34"	"101737.164"	"34787.79"
"6"	"A6"	"10"	"169097.64"	"102759.414"	"35418.37"
"6"	"A6"	"11"	"171018.6"	"103370.67"	"35675.14"
"6"	"A6"	"12"	"172305.31"	"103846.68"	"35831.46"
"6"	"A6"	"13"	"174354.53"	"104599.76"	"36205.215"
"6"	"A6"	"14"	"175663.75"	"105229.23"	"36461.86"
"6"	"A6"	"15"	"177549.19"	"105857.86"	"36763.195"
"6"	"A6"	"16"	"179430.4"	"106419.94"	"37068.348"
"6"	"A6"	"17"	"180723.2"	"107019.516"	"37368.863"
"6"	"A6"	"18"	"181864.08"	"107302.734"	"37779.688"
"6"	"A6"	"19"	"183030.84"	"107730.484"	"38588.016"
"6"	"A6"	"20"	"184293.55"	"108125.49"	"39977.35"
"6"	"A6"	"21"	"185059.8"	"108322.04"	"42159.203"
"6"	"A6"	"22"	"185824.94"	"108279.4"	"45733.902"
"6"	"A6"	"23"	"186711.38"	"108877.27"	"52327.49"
"6"	"A6"	"24"	"187683.12"	"109133.32"	"62711.363"
"6"	"A6"	"25"	"188686.23"	"109540.59"	"77473.59"
"6"	"A6"	"26"	"189739.14"	"109869.055"	"95757.03"
"6"	"A6"	"27"	"190907.94"	"110136.88"	"116471.45"
"6"	"A6"	"28"	"191941.31"	"110579.38"	"137666.7"
"6"	"A6"	"29"	"192900.48"	"110866.29"	"157968.17"
"6"	"A6"	"30"	"194147.64"	"110983.586"	"176346.94"
"6"	"A6"	"31"	"195228.19"	"111484.39"	"191654.98"
"6"	"A6"	"32"	"195557.6"	"111839.89"	"202060.23"
"6"	"A6"	"33"	"195860.78"	"111931.37"	"207856.16"
"6"	"A6"	"34"	"196518.19"	"111976.516"	"210783.42"
"6"	"A6"	"35"	"197249.97"	"112318.11"	"212487.77"
"6"	"A6"	"36"	"198601.4"	"112625.4"	"214178.58"
"6"	"A6"	"37"	"199080.1"	"112758.01"	"215137.69"
"6"	"A6"	"38"	"199404.95"	"112767.62"	"216155.23"
"6"	"A6"	"39"	"200377.88"	"112892.484"	"216972.88"
"6"	"A6"	"40"	"200976.02"	"113023.07"	"217330.9"
"6"	"A6"	"41"	"201530.17"	"113211.27"	"218184.67"
"6"	"A6"	"42"	"202164.0"	"113276.445"	"219679.95"
"6"	"A6"	"43"	"203273.14"	"113448.0"	"220507.39"
"6"	"A6"	"44"	"204024.62"	"113690.0"	"221263.22"
"6"	"A6"	"45"	"203597.52"	"114004.41"	"222298.86"
"7"	"A7"	"1"	"159992.14"	"103066.3"	"34342.207"
"7"	"A7"	"2"	"159543.39"	"102847.0"	"34320.34"
"7"	"A7"	"3"	"159210.64"	"102473.17"	"34253.53"
"7"	"A7"	"4"	"159015.81"	"102230.19"	"34216.008"
"7"	"A7"	"5"	"158591.11"	"101924.86"	"34185.066"
"7"	"A7"	"6"	"158402.52"	"101778.71"	"34193.715"
"7"	"A7"	"7"	"158206.56"	"101662.01"	"34259.336"
"7"	"A7"	"8"	"157868.11"	"101481.92"	"34259.09"
"7"	"A7"	"9"	"157814.38"	"101365.266"	"34278.535"
"7"	"A7"	"10"	"157912.81"	"101202.414"	"34314.746"
"7"	"A7"	"11"	"158554.05"	"101390.85"	"34356.92"
"7"	"A7"	"12"	"162192.66"	"102746.52"	"34808.414"
"7"	"A7"	"13"	"167533.0"	"104876.586"	"35787.855"
"7"	"A7"	"14"	"170729.23"	"105972.95"	"36281.863"
"7"	"A7"	"15"	"172173.22"	"106369.25"	"36516.742"
"7"	"A7"	"16"	"173261.45"	"106886.57"	"36751.074"
"7"	"A7"	"17"	"174594.77"	"107155.914"	"36915.055"
"7"	"A7"	"18"	"175427.86"	"107645.82"	"37154.56"
"7"	"A7"	"19"	"177374.17"	"108535.74"	"37490.832"
"7"	"A7"	"20"	"178693.92"	"108823.9"	"37697.56"
"7"	"A7"	"21"	"180014.4"	"109188.484"	"37935.664"
"7"	"A7"	"22"	"181176.08"	"109552.695"	"38111.234"
"7"	"A7"	"23"	"182449.2"	"110026.086"	"38471.01"
"7"	"A7"	"24"	"183134.89"	"110192.016"	"38880.223"
"7"	"A7"	"25"	"183711.56"	"110149.5"	"39379.605"
"7"	"A7"	"26"	"184993.12"	"110832.14"	"40240.863"
"7"	"A7"	"27"	"186192.92"	"111162.59"	"41646.836"
"7"	"A7"	"28"	"187639.06"	"111410.76"	"44329.117"
"7"	"A7"	"29"	"188289.5"	"111983.18"	"48826.316"
"7"	"A7"	"30"	"189074.14"	"112032.016"	"56552.14"
"7"	"A7"	"31"	"190201.6"	"112338.73"	"68687.93"
"7"	"A7"	"32"	"191157.44"	"112661.0"	"85676.88"
"7"	"A7"	"33"	"192097.5"	"112753.11"	"107301.36"
"7"	"A7"	"34"	"192795.52"	"113063.79"	"132454.08"
"7"	"A7"	"35"	"193432.62"	"113360.984"	"159389.14"
"7"	"A7"	"36"	"194707.53"	"113762.79"	"184430.03"
"7"	"A7"	"37"	"196154.53"	"113902.92"	"201440.33"
"7"	"A7"	"38"	"196739.9"	"113913.02"	"210482.28"
"7"	"A7"	"39"	"197936.5"	"114152.41"	"215152.53"
"7"	"A7"	"40"	"199253.75"	"114295.08"	"217375.97"
"7"	"A7"	"41"	"199753.77"	"114616.0"	"218582.39"
"7"	"A7"	"42"	"200521.62"	"114778.98"	"219552.73"
"7"	"A7"	"43"	"201249.12"	"114905.35"	"220875.33"
"7"	"A7"	"44"	"201885.44"	"115091.6"	"222131.23"
"7"	"A7"	"45"	"202487.95"	"115191.13"	"222828.9"
"8"	"A8"	"1"	"166409.48"	"106900.87"	"36548.254"
"8"	"A8"	"2"	"166188.0"	"106773.19"	"36482.44"
"8"	"A8"	"3"	"165939.45"	"106247.43"	"36371.168"
"8"	"A8"	"4"	"165630.69"	"105866.836"	"36242.15"
"8"	"A8"	"5"	"165190.4"	"105615.016"	"36094.645"
"8"	"A8"	"6"	"165075.5"	"105432.07"	"36071.297"
"8"	"A8"	"7"	"165181.62"	"105306.36"	"36113.727"
"8"	"A8"	"8"	"165067.44"	"105139.78"	"36141.66"
"8"	"A8"	"9"	"164705.94"	"104802.69"	"36198.414"
"8"	"A8"	"10"	"164658.25"	"104669.33"	"36170.39"
"8"	"A8"	"11"	"164888.28"	"104571.69"	"36136.12"
"8"	"A8"	"12"	"165185.39"	"104483.195"	"36121.47"
"8"	"A8"	"13"	"165309.11"	"104482.89"	"36133.445"
"8"	"A8"	"14"	"166031.94"	"104633.67"	"36238.66"
"8"	"A8"	"15"	"167941.88"	"105282.81"	"36510.453"
"8"	"A8"	"16"	"171825.5"	"106927.836"	"37224.035"
"8"	"A8"	"17"	"175019.9"	"108093.13"	"37669.574"
"8"	"A8"	"18"	"176620.38"	"108527.73"	"37946.61"
"8"	"A8"	"19"	"178307.33"	"109145.55"	"38204.598"
"8"	"A8"	"20"	"179831.66"	"109760.305"	"38559.92"
"8"	"A8"	"21"	"180573.64"	"109907.74"	"38716.832"
"8"	"A8"	"22"	"181885.45"	"110374.85"	"39132.65"
"8"	"A8"	"23"	"183434.05"	"110793.44"	"39537.387"
"8"	"A8"	"24"	"184122.14"	"111011.59"	"40182.258"
"8"	"A8"	"25"	"185066.84"	"111207.07"	"41312.47"
"8"	"A8"	"26"	"186357.23"	"111595.87"	"43250.543"
"8"	"A8"	"27"	"187528.73"	"111805.086"	"46528.695"
"8"	"A8"	"28"	"188237.12"	"112138.836"	"52516.348"
"8"	"A8"	"29"	"189187.42"	"112380.45"	"62073.586"
"8"	"A8"	"30"	"190333.03"	"112675.4"	"76587.01"
"8"	"A8"	"31"	"190887.78"	"113096.03"	"96299.79"
"8"	"A8"	"32"	"191630.66"	"113216.07"	"119971.8"
"8"	"A8"	"33"	"192804.86"	"113598.12"	"146020.69"
