# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_COV2_07302020_15.eds
# Description: 
# User Name: AH
# Last Modified Date/Time: 2020-08-06 07:54:15 PM CDT
# Date Created: 2020-07-31 09:09:50 PM CDT
# Barcode: 
# Instrument Type: QuantStudio™ Dx System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 287880047
# Instrument Serial Number: 287880047
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-31 08:13:22 PM CDT
# Plate Run End Date/Time: 2020-07-31 10:02:13 PM CDT
# Run Duration: 108 minutes 51 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"2640011.5"	"1533629.2"	"461491.6"
"1"	"A1"	"2"	"2640122.0"	"1533293.9"	"461670.56"
"1"	"A1"	"3"	"2641705.5"	"1532993.9"	"463594.72"
"1"	"A1"	"4"	"2643901.8"	"1533516.9"	"464229.62"
"1"	"A1"	"5"	"2644717.8"	"1532609.8"	"464577.44"
"1"	"A1"	"6"	"2641848.0"	"1529269.1"	"464526.25"
"1"	"A1"	"7"	"2641365.5"	"1526491.1"	"464459.22"
"1"	"A1"	"8"	"2642862.2"	"1525236.1"	"464609.28"
"1"	"A1"	"9"	"2642992.2"	"1523948.2"	"463683.62"
"1"	"A1"	"10"	"2642504.2"	"1523093.1"	"463706.75"
"1"	"A1"	"11"	"2644027.0"	"1522905.0"	"465514.7"
"1"	"A1"	"12"	"2651025.0"	"1524212.2"	"466930.28"
"1"	"A1"	"13"	"2654342.2"	"1527138.1"	"467718.88"
"1"	"A1"	"14"	"2662292.5"	"1525869.2"	"469515.28"
"1"	"A1"	"15"	"2666793.0"	"1524692.6"	"470154.6"
"1"	"A1"	"16"	"2670225.0"	"1524063.8"	"471819.72"
"1"	"A1"	"17"	"2672716.5"	"1523031.4"	"472360.75"
"1"	"A1"	"18"	"2674895.5"	"1522378.2"	"472128.5"
"1"	"A1"	"19"	"2677973.8"	"1520940.4"	"472407.72"
"1"	"A1"	"20"	"2678120.5"	"1518992.0"	"473986.44"
"1"	"A1"	"21"	"2678037.5"	"1518651.2"	"475392.28"
"1"	"A1"	"22"	"2679488.2"	"1518972.5"	"477401.1"
"1"	"A1"	"23"	"2681370.0"	"1518165.1"	"477996.7"
"1"	"A1"	"24"	"2682676.0"	"1518318.4"	"480124.34"
"1"	"A1"	"25"	"2684623.2"	"1520046.4"	"484013.0"
"1"	"A1"	"26"	"2687871.5"	"1521404.2"	"489333.62"
"1"	"A1"	"27"	"2689625.2"	"1522568.0"	"500258.75"
"1"	"A1"	"28"	"2693433.2"	"1521075.1"	"520381.5"
"1"	"A1"	"29"	"2694035.5"	"1520642.5"	"555226.75"
"1"	"A1"	"30"	"2695932.5"	"1521323.0"	"617145.4"
"1"	"A1"	"31"	"2702165.2"	"1521524.8"	"722791.94"
"1"	"A1"	"32"	"2707874.0"	"1520212.8"	"885683.75"
"1"	"A1"	"33"	"2708935.0"	"1520056.8"	"1107989.9"
"1"	"A1"	"34"	"2710298.2"	"1521173.5"	"1383616.4"
"1"	"A1"	"35"	"2711166.0"	"1521098.0"	"1695258.8"
"1"	"A1"	"36"	"2713402.2"	"1520345.4"	"2014333.6"
"1"	"A1"	"37"	"2716275.2"	"1519371.5"	"2283490.2"
"1"	"A1"	"38"	"2718685.0"	"1519309.6"	"2446544.8"
"1"	"A1"	"39"	"2719243.2"	"1520198.9"	"2517964.2"
"1"	"A1"	"40"	"2722949.2"	"1520312.8"	"2548476.5"
"1"	"A1"	"41"	"2726998.8"	"1520160.5"	"2566382.8"
"1"	"A1"	"42"	"2728975.5"	"1519496.9"	"2580513.2"
"1"	"A1"	"43"	"2729093.8"	"1519251.5"	"2593855.5"
"1"	"A1"	"44"	"2730842.2"	"1519476.4"	"2603581.8"
"1"	"A1"	"45"	"2733367.0"	"1520329.0"	"2612340.0"
"2"	"A2"	"1"	"2952236.0"	"1544727.9"	"478067.9"
"2"	"A2"	"2"	"2952807.8"	"1544600.4"	"478236.53"
"2"	"A2"	"3"	"2959743.2"	"1544514.2"	"480220.5"
"2"	"A2"	"4"	"2962848.2"	"1543475.2"	"481424.1"
"2"	"A2"	"5"	"2961531.5"	"1542282.1"	"481608.84"
"2"	"A2"	"6"	"2957207.0"	"1541642.0"	"481524.97"
"2"	"A2"	"7"	"2953808.8"	"1540446.4"	"481254.25"
"2"	"A2"	"8"	"2949756.2"	"1538165.6"	"481246.44"
"2"	"A2"	"9"	"2947772.0"	"1536952.8"	"482062.16"
"2"	"A2"	"10"	"2946694.0"	"1536347.8"	"482404.44"
"2"	"A2"	"11"	"2944073.5"	"1535121.6"	"482691.5"
"2"	"A2"	"12"	"2948161.2"	"1534247.1"	"484218.0"
"2"	"A2"	"13"	"2972067.8"	"1533145.1"	"484787.1"
"2"	"A2"	"14"	"2996543.5"	"1532893.1"	"486280.97"
"2"	"A2"	"15"	"3006960.2"	"1533591.5"	"487883.88"
"2"	"A2"	"16"	"3025460.8"	"1536354.4"	"490357.88"
"2"	"A2"	"17"	"3039114.2"	"1537325.6"	"492256.72"
"2"	"A2"	"18"	"3050905.2"	"1538918.1"	"493190.44"
"2"	"A2"	"19"	"3058980.5"	"1538623.1"	"494080.2"
"2"	"A2"	"20"	"3063468.8"	"1538683.6"	"495951.28"
"2"	"A2"	"21"	"3070590.8"	"1540304.9"	"497633.88"
"2"	"A2"	"22"	"3080486.2"	"1540452.0"	"498782.1"
"2"	"A2"	"23"	"3085270.5"	"1540148.1"	"501027.16"
"2"	"A2"	"24"	"3092195.5"	"1539911.0"	"502892.75"
"2"	"A2"	"25"	"3099034.0"	"1540404.5"	"506157.5"
"2"	"A2"	"26"	"3106342.2"	"1542134.1"	"510237.34"
"2"	"A2"	"27"	"3113681.2"	"1542784.5"	"519375.28"
"2"	"A2"	"28"	"3112643.5"	"1543338.6"	"533650.0"
"2"	"A2"	"29"	"3111989.8"	"1543293.4"	"560471.7"
"2"	"A2"	"30"	"3117173.0"	"1543858.6"	"610006.0"
"2"	"A2"	"31"	"3124847.5"	"1545710.9"	"695590.2"
"2"	"A2"	"32"	"3132929.8"	"1546676.2"	"833501.06"
"2"	"A2"	"33"	"3135702.5"	"1544403.0"	"1036450.0"
"2"	"A2"	"34"	"3143131.5"	"1543896.8"	"1307568.8"
"2"	"A2"	"35"	"3156793.2"	"1545379.6"	"1639035.8"
"2"	"A2"	"36"	"3173093.8"	"1545614.2"	"2005922.6"
"2"	"A2"	"37"	"3189587.2"	"1545362.8"	"2327325.8"
"2"	"A2"	"38"	"3205483.0"	"1545592.8"	"2518067.0"
"2"	"A2"	"39"	"3215450.5"	"1546250.0"	"2598276.2"
"2"	"A2"	"40"	"3222824.5"	"1547965.8"	"2632229.0"
"2"	"A2"	"41"	"3230774.5"	"1548120.6"	"2648224.0"
"2"	"A2"	"42"	"3238143.0"	"1548150.5"	"2658521.0"
"2"	"A2"	"43"	"3246757.0"	"1548050.4"	"2667647.5"
"2"	"A2"	"44"	"3254441.8"	"1547684.5"	"2675021.2"
"2"	"A2"	"45"	"3265329.0"	"1547455.6"	"2677968.2"
"3"	"A3"	"1"	"2494562.2"	"1508197.2"	"480400.22"
"3"	"A3"	"2"	"2495045.8"	"1508133.1"	"480445.84"
"3"	"A3"	"3"	"2501192.5"	"1509244.1"	"481023.88"
"3"	"A3"	"4"	"2507563.8"	"1510943.4"	"481756.56"
"3"	"A3"	"5"	"2512562.0"	"1510623.0"	"483147.25"
"3"	"A3"	"6"	"2512314.8"	"1508332.4"	"483948.06"
"3"	"A3"	"7"	"2506252.5"	"1505047.8"	"482863.72"
"3"	"A3"	"8"	"2504047.5"	"1502481.9"	"481880.56"
"3"	"A3"	"9"	"2502188.2"	"1501596.2"	"481486.8"
"3"	"A3"	"10"	"2501534.2"	"1500228.2"	"480927.9"
"3"	"A3"	"11"	"2501914.2"	"1498351.4"	"481029.2"
"3"	"A3"	"12"	"2505428.5"	"1497565.2"	"482410.62"
"3"	"A3"	"13"	"2515422.5"	"1497489.6"	"483846.1"
"3"	"A3"	"14"	"2526003.0"	"1497590.5"	"484714.53"
"3"	"A3"	"15"	"2532712.2"	"1497768.4"	"485293.75"
"3"	"A3"	"16"	"2541307.0"	"1498469.0"	"487911.8"
"3"	"A3"	"17"	"2546967.0"	"1498573.6"	"489972.47"
"3"	"A3"	"18"	"2550379.2"	"1498798.8"	"491893.72"
"3"	"A3"	"19"	"2555915.8"	"1499949.5"	"493007.06"
"3"	"A3"	"20"	"2561098.0"	"1501470.6"	"493244.28"
"3"	"A3"	"21"	"2567159.5"	"1501913.6"	"494311.44"
"3"	"A3"	"22"	"2571905.0"	"1503109.2"	"497382.4"
"3"	"A3"	"23"	"2574993.5"	"1503891.9"	"501376.97"
"3"	"A3"	"24"	"2579364.5"	"1504076.0"	"507429.16"
"3"	"A3"	"25"	"2583708.8"	"1503763.8"	"519068.56"
"3"	"A3"	"26"	"2589028.0"	"1503527.6"	"541186.94"
"3"	"A3"	"27"	"2593964.8"	"1504099.4"	"579858.2"
"3"	"A3"	"28"	"2597223.2"	"1506015.4"	"648115.3"
"3"	"A3"	"29"	"2601469.8"	"1507165.4"	"759157.06"
"3"	"A3"	"30"	"2606920.2"	"1509021.8"	"927958.6"
"3"	"A3"	"31"	"2611000.8"	"1509582.0"	"1157489.1"
"3"	"A3"	"32"	"2612771.2"	"1509737.0"	"1432700.0"
"3"	"A3"	"33"	"2617861.5"	"1511049.6"	"1735873.8"
"3"	"A3"	"34"	"2623453.2"	"1511147.2"	"2046748.8"
"3"	"A3"	"35"	"2627142.0"	"1511283.6"	"2342869.2"
"3"	"A3"	"36"	"2630995.0"	"1512931.8"	"2580815.0"
"3"	"A3"	"37"	"2633843.0"	"1512329.8"	"2718713.5"
"3"	"A3"	"38"	"2637498.5"	"1511996.0"	"2779262.8"
"3"	"A3"	"39"	"2642804.5"	"1512787.5"	"2808096.0"
"3"	"A3"	"40"	"2645603.5"	"1513011.1"	"2826541.0"
"3"	"A3"	"41"	"2649114.8"	"1514127.8"	"2840077.2"
"3"	"A3"	"42"	"2654472.5"	"1514329.9"	"2852233.2"
"3"	"A3"	"43"	"2657890.2"	"1515779.5"	"2864091.0"
"3"	"A3"	"44"	"2661216.2"	"1518441.9"	"2873760.8"
"3"	"A3"	"45"	"2665166.0"	"1518951.8"	"2883913.8"
"4"	"A4"	"1"	"2590463.5"	"1573784.8"	"514551.4"
"4"	"A4"	"2"	"2590725.0"	"1573665.5"	"514571.12"
"4"	"A4"	"3"	"2593782.8"	"1573853.4"	"515028.7"
"4"	"A4"	"4"	"2595820.8"	"1573171.9"	"515862.3"
"4"	"A4"	"5"	"2596932.0"	"1571043.9"	"515304.97"
"4"	"A4"	"6"	"2596283.8"	"1568722.8"	"514776.2"
"4"	"A4"	"7"	"2593360.8"	"1565945.9"	"514902.75"
"4"	"A4"	"8"	"2591654.0"	"1563807.4"	"515773.3"
"4"	"A4"	"9"	"2591320.5"	"1563017.8"	"515567.44"
