# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX-384_07282020_07_08_09.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 07:55:13 PM CDT
# Date Created: 2020-07-29 09:44:06 AM CDT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-29 04:46:58 AM CDT
# Plate Run End Date/Time: 2020-07-29 06:37:56 AM CDT
# Run Duration: 110 minutes 58 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"168430.81"	"101952.695"	"28675.398"
"1"	"A1"	"2"	"168303.9"	"101794.06"	"28644.531"
"1"	"A1"	"3"	"167876.61"	"101485.42"	"28511.34"
"1"	"A1"	"4"	"167598.67"	"101049.39"	"28495.879"
"1"	"A1"	"5"	"167167.8"	"100569.64"	"28579.74"
"1"	"A1"	"6"	"166929.06"	"100183.57"	"28575.434"
"1"	"A1"	"7"	"166583.28"	"100054.55"	"28561.068"
"1"	"A1"	"8"	"166546.08"	"99987.66"	"28587.117"
"1"	"A1"	"9"	"166744.9"	"99843.95"	"28493.713"
"1"	"A1"	"10"	"166868.81"	"99772.0"	"28509.762"
"1"	"A1"	"11"	"167032.16"	"99712.73"	"28686.525"
"1"	"A1"	"12"	"167187.73"	"99689.7"	"28716.803"
"1"	"A1"	"13"	"167811.11"	"99681.81"	"28749.936"
"1"	"A1"	"14"	"169343.06"	"100286.33"	"29041.81"
"1"	"A1"	"15"	"175485.4"	"102881.734"	"30070.664"
"1"	"A1"	"16"	"178046.3"	"104122.44"	"30385.822"
"1"	"A1"	"17"	"179199.47"	"104645.414"	"30361.404"
"1"	"A1"	"18"	"180844.94"	"105023.89"	"30687.152"
"1"	"A1"	"19"	"182565.16"	"105485.414"	"31157.627"
"1"	"A1"	"20"	"184266.5"	"105792.71"	"31405.393"
"1"	"A1"	"21"	"184523.19"	"106033.64"	"31371.436"
"1"	"A1"	"22"	"185387.67"	"106284.4"	"31303.562"
"1"	"A1"	"23"	"187736.0"	"107336.53"	"31630.838"
"1"	"A1"	"24"	"189236.19"	"107600.65"	"31832.365"
"1"	"A1"	"25"	"189504.92"	"107556.45"	"31927.592"
"1"	"A1"	"26"	"190802.52"	"108162.1"	"32204.984"
"1"	"A1"	"27"	"191649.48"	"108242.31"	"32192.07"
"1"	"A1"	"28"	"192707.72"	"108566.88"	"32464.635"
"1"	"A1"	"29"	"194109.66"	"108911.914"	"32713.984"
"1"	"A1"	"30"	"194753.81"	"109256.67"	"33006.395"
"1"	"A1"	"31"	"195930.16"	"109756.52"	"33490.246"
"1"	"A1"	"32"	"196978.83"	"110098.516"	"34141.99"
"1"	"A1"	"33"	"197616.14"	"110420.78"	"35457.273"
"1"	"A1"	"34"	"198406.14"	"110572.31"	"38015.027"
"1"	"A1"	"35"	"200048.53"	"110832.02"	"42415.94"
