# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07292020_05.sds
# Description: SDS v1.4.1
# User Name: 
# Last Modified Date/Time: 2020-07-29 10:02:04 PM CDT
# Date Created: 2020-07-29 10:02:04 PM CDT
# Barcode: 
# Instrument Type: 7500 Fast System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-29 08:31:37 PM CDT
# Plate Run End Date/Time: 2020-07-29 10:02:04 PM CDT
# Run Duration: 90 minutes 27 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"2114696.5"	"523371.56"	"143888.73"
"1"	"A1"	"2"	"2034974.5"	"506686.1"	"137584.95"
"1"	"A1"	"3"	"2029739.8"	"506093.9"	"137217.98"
"1"	"A1"	"4"	"2021330.1"	"504326.75"	"137210.8"
"1"	"A1"	"5"	"2016649.6"	"503645.6"	"136856.95"
"1"	"A1"	"6"	"2013761.8"	"503316.56"	"137016.06"
"1"	"A1"	"7"	"2015576.2"	"502666.06"	"137403.3"
"1"	"A1"	"8"	"2016537.4"	"502551.94"	"137730.08"
"1"	"A1"	"9"	"2017965.5"	"502180.9"	"137700.77"
"1"	"A1"	"10"	"2024529.6"	"502330.84"	"137444.95"
"1"	"A1"	"11"	"2023565.9"	"502180.2"	"137986.34"
"1"	"A1"	"12"	"2032752.1"	"501918.7"	"138791.34"
"1"	"A1"	"13"	"2037232.4"	"503861.78"	"139216.69"
"1"	"A1"	"14"	"2048405.4"	"503492.53"	"139801.86"
"1"	"A1"	"15"	"2054316.0"	"502995.47"	"139573.0"
"1"	"A1"	"16"	"2066342.0"	"502665.4"	"140070.06"
"1"	"A1"	"17"	"2074967.5"	"504457.2"	"140214.19"
"1"	"A1"	"18"	"2057802.1"	"501211.38"	"140474.12"
"1"	"A1"	"19"	"2061313.9"	"500007.3"	"140249.48"
"1"	"A1"	"20"	"2067587.5"	"500560.38"	"140820.64"
"1"	"A1"	"21"	"2073580.1"	"501149.0"	"141179.67"
"1"	"A1"	"22"	"2094410.6"	"503269.12"	"142523.39"
"1"	"A1"	"23"	"2087816.0"	"503561.75"	"142089.66"
"1"	"A1"	"24"	"2097534.8"	"502963.34"	"142855.9"
"1"	"A1"	"25"	"2107366.8"	"503491.88"	"142888.67"
"1"	"A1"	"26"	"2108456.2"	"503376.94"	"143481.3"
"1"	"A1"	"27"	"2117230.0"	"503672.2"	"144315.25"
"1"	"A1"	"28"	"2120377.0"	"503541.8"	"145314.55"
"1"	"A1"	"29"	"2125370.0"	"505119.16"	"147071.66"
"1"	"A1"	"30"	"2130324.2"	"504189.5"	"149490.69"
"1"	"A1"	"31"	"2130172.8"	"504030.2"	"155322.27"
"1"	"A1"	"32"	"2134947.8"	"504956.47"	"166263.58"
"1"	"A1"	"33"	"2141082.2"	"505260.97"	"184822.22"
"1"	"A1"	"34"	"2145596.5"	"505673.9"	"219472.3"
"1"	"A1"	"35"	"2149649.2"	"505522.8"	"278322.16"
"1"	"A1"	"36"	"2154504.2"	"505319.1"	"372947.6"
"1"	"A1"	"37"	"2171668.2"	"506737.06"	"494135.22"
"1"	"A1"	"38"	"2178011.8"	"507868.5"	"599844.25"
"1"	"A1"	"39"	"2183548.0"	"507978.8"	"665059.0"
"1"	"A1"	"40"	"2193566.0"	"508767.16"	"705888.0"
"1"	"A1"	"41"	"2198527.2"	"507746.16"	"727864.7"
"1"	"A1"	"42"	"2204968.2"	"508346.9"	"741686.75"
"1"	"A1"	"43"	"2210328.0"	"507047.8"	"748271.4"
"1"	"A1"	"44"	"2211008.2"	"507829.78"	"753888.6"
"1"	"A1"	"45"	"2218762.5"	"509405.62"	"759126.2"
"2"	"A2"	"1"	"2115783.8"	"525837.6"	"143939.66"
"2"	"A2"	"2"	"2036204.5"	"505133.66"	"139380.9"
"2"	"A2"	"3"	"2001565.1"	"498719.66"	"137471.48"
"2"	"A2"	"4"	"1977999.4"	"496174.66"	"135940.1"
"2"	"A2"	"5"	"1975418.0"	"495531.84"	"135916.28"
"2"	"A2"	"6"	"1975659.5"	"495912.66"	"136080.31"
"2"	"A2"	"7"	"1978243.5"	"495484.8"	"136133.62"
"2"	"A2"	"8"	"1983572.2"	"495992.47"	"136325.58"
"2"	"A2"	"9"	"1987013.4"	"495396.25"	"136674.19"
"2"	"A2"	"10"	"1987986.5"	"494642.12"	"136673.89"
"2"	"A2"	"11"	"2011073.2"	"495746.9"	"137547.72"
"2"	"A2"	"12"	"2005820.2"	"494344.3"	"137742.86"
