# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07242020_07.sds
# Description: SDS v1.4.1
# User Name: 
# Last Modified Date/Time: 2020-07-25 12:17:27 PM CDT
# Date Created: 2020-07-25 08:25:39 AM CDT
# Barcode: 
# Instrument Type: 7500 Fast System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-25 06:55:11 AM CDT
# Plate Run End Date/Time: 2020-07-25 08:25:39 AM CDT
# Run Duration: 90 minutes 28 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"1376318.0"	"372606.0"	"112600.56"
"1"	"A1"	"2"	"1294955.0"	"353141.78"	"106775.305"
"1"	"A1"	"3"	"1306071.6"	"357389.3"	"107535.555"
"1"	"A1"	"4"	"1314446.0"	"356817.9"	"107452.08"
"1"	"A1"	"5"	"1321611.4"	"358285.44"	"107205.836"
"1"	"A1"	"6"	"1338869.2"	"359430.5"	"107962.195"
"1"	"A1"	"7"	"1344784.8"	"358897.5"	"107989.734"
"1"	"A1"	"8"	"1348552.0"	"357804.84"	"108687.3"
"1"	"A1"	"9"	"1351731.1"	"358325.84"	"109428.35"
"1"	"A1"	"10"	"1355613.1"	"359309.28"	"109097.56"
"1"	"A1"	"11"	"1363679.8"	"359543.88"	"109107.61"
"1"	"A1"	"12"	"1363131.8"	"359714.0"	"110167.914"
"1"	"A1"	"13"	"1370867.2"	"360427.8"	"110244.96"
"1"	"A1"	"14"	"1374670.6"	"359714.84"	"110660.36"
"1"	"A1"	"15"	"1375935.2"	"360025.78"	"110665.234"
"1"	"A1"	"16"	"1381086.5"	"359895.28"	"110758.484"
"1"	"A1"	"17"	"1385962.0"	"360532.3"	"111439.81"
"1"	"A1"	"18"	"1386166.2"	"361516.25"	"112192.71"
"1"	"A1"	"19"	"1394806.2"	"361084.03"	"111746.33"
"1"	"A1"	"20"	"1393160.1"	"361603.34"	"111509.38"
"1"	"A1"	"21"	"1400722.1"	"362332.0"	"113350.64"
"1"	"A1"	"22"	"1404783.6"	"362000.22"	"112499.49"
"1"	"A1"	"23"	"1408955.5"	"363123.1"	"113354.57"
"1"	"A1"	"24"	"1411652.5"	"363536.25"	"113459.04"
"1"	"A1"	"25"	"1415950.4"	"363549.7"	"113515.88"
"1"	"A1"	"26"	"1421275.2"	"363543.12"	"114796.82"
"1"	"A1"	"27"	"1422224.6"	"364012.56"	"116159.99"
"1"	"A1"	"28"	"1428195.5"	"363587.62"	"118399.38"
"1"	"A1"	"29"	"1428335.8"	"364300.9"	"122607.21"
"1"	"A1"	"30"	"1432490.8"	"364623.9"	"129166.58"
"1"	"A1"	"31"	"1436050.2"	"364871.6"	"142263.11"
"1"	"A1"	"32"	"1437704.0"	"364589.47"	"164414.92"
"1"	"A1"	"33"	"1440628.6"	"364430.16"	"198323.97"
"1"	"A1"	"34"	"1442818.9"	"364986.75"	"248402.52"
"1"	"A1"	"35"	"1444013.9"	"365035.7"	"315587.9"
"1"	"A1"	"36"	"1447363.8"	"365226.16"	"398102.5"
"1"	"A1"	"37"	"1449486.1"	"364683.03"	"485752.1"
"1"	"A1"	"38"	"1455447.9"	"364771.0"	"550368.06"
"1"	"A1"	"39"	"1458320.6"	"366015.47"	"585090.2"
"1"	"A1"	"40"	"1462508.6"	"365446.88"	"600626.56"
"1"	"A1"	"41"	"1462543.0"	"366035.12"	"607449.75"
"1"	"A1"	"42"	"1467180.2"	"366620.1"	"611144.2"
"1"	"A1"	"43"	"1470358.0"	"365965.88"	"614636.0"
"1"	"A1"	"44"	"1471701.4"	"366098.56"	"619545.8"
"1"	"A1"	"45"	"1473916.2"	"366092.4"	"621351.2"
"2"	"A2"	"1"	"1305495.1"	"341833.53"	"104069.68"
"2"	"A2"	"2"	"1246987.9"	"329757.3"	"99910.87"
"2"	"A2"	"3"	"1253342.5"	"332232.22"	"100430.875"
"2"	"A2"	"4"	"1251728.1"	"331654.6"	"100084.37"
"2"	"A2"	"5"	"1254554.8"	"330656.6"	"100146.195"
"2"	"A2"	"6"	"1269098.1"	"332063.22"	"101144.8"
"2"	"A2"	"7"	"1277904.8"	"331994.0"	"101350.49"
"2"	"A2"	"8"	"1283450.8"	"332710.28"	"101660.2"
"2"	"A2"	"9"	"1287782.1"	"333050.16"	"102035.27"
"2"	"A2"	"10"	"1290764.9"	"333390.0"	"102376.3"
"2"	"A2"	"11"	"1299815.1"	"334336.9"	"103328.41"
"2"	"A2"	"12"	"1302901.0"	"333666.66"	"102859.33"
"2"	"A2"	"13"	"1304901.8"	"333735.62"	"102989.77"
"2"	"A2"	"14"	"1308352.9"	"333821.25"	"103430.25"
"2"	"A2"	"15"	"1311778.6"	"334217.9"	"103582.375"
"2"	"A2"	"16"	"1314721.2"	"334327.62"	"104160.1"
"2"	"A2"	"17"	"1317036.9"	"334299.16"	"104409.82"
"2"	"A2"	"18"	"1326672.6"	"335401.72"	"104534.12"
"2"	"A2"	"19"	"1327667.8"	"335638.8"	"105088.52"
"2"	"A2"	"20"	"1334446.4"	"336078.75"	"105273.46"
"2"	"A2"	"21"	"1336216.0"	"336257.56"	"105656.75"
"2"	"A2"	"22"	"1342347.0"	"335410.12"	"105396.266"
"2"	"A2"	"23"	"1345898.1"	"335870.94"	"105816.45"
"2"	"A2"	"24"	"1346649.0"	"336697.88"	"106558.87"
"2"	"A2"	"25"	"1351151.6"	"336417.9"	"106417.734"
"2"	"A2"	"26"	"1352186.1"	"336768.44"	"107079.88"
"2"	"A2"	"27"	"1356277.6"	"337249.4"	"107566.72"
"2"	"A2"	"28"	"1360523.9"	"337499.3"	"109201.39"
"2"	"A2"	"29"	"1364804.6"	"337556.12"	"110191.08"
"2"	"A2"	"30"	"1368280.0"	"337995.72"	"112736.43"
"2"	"A2"	"31"	"1368209.8"	"337423.94"	"118549.805"
"2"	"A2"	"32"	"1372200.6"	"338038.66"	"129203.805"
"2"	"A2"	"33"	"1373988.5"	"338186.03"	"147001.8"
"2"	"A2"	"34"	"1378338.9"	"337717.66"	"177809.58"
"2"	"A2"	"35"	"1380589.5"	"338918.94"	"224982.31"
"2"	"A2"	"36"	"1381217.0"	"338075.4"	"290557.28"
"2"	"A2"	"37"	"1385493.8"	"339009.7"	"379248.25"
"2"	"A2"	"38"	"1388628.0"	"339058.97"	"474504.62"
"2"	"A2"	"39"	"1390536.0"	"339603.3"	"543800.2"
"2"	"A2"	"40"	"1395986.6"	"339199.28"	"585437.5"
"2"	"A2"	"41"	"1395962.4"	"339581.22"	"611408.8"
"2"	"A2"	"42"	"1399583.5"	"339067.53"	"627271.9"
"2"	"A2"	"43"	"1401987.6"	"338701.56"	"636839.75"
"2"	"A2"	"44"	"1404532.2"	"339610.53"	"644361.7"
"2"	"A2"	"45"	"1409017.9"	"339133.03"	"649132.1"
"3"	"A3"	"1"	"1355760.4"	"360797.47"	"112302.47"
"3"	"A3"	"2"	"1291617.0"	"347280.22"	"105989.27"
"3"	"A3"	"3"	"1288159.4"	"346886.6"	"106367.91"
"3"	"A3"	"4"	"1285643.9"	"346264.8"	"105943.47"
"3"	"A3"	"5"	"1294653.8"	"346738.53"	"105644.805"
"3"	"A3"	"6"	"1306606.6"	"347611.5"	"107055.81"
"3"	"A3"	"7"	"1304561.2"	"347077.97"	"107277.51"
"3"	"A3"	"8"	"1317636.0"	"348075.47"	"107240.51"
"3"	"A3"	"9"	"1314247.9"	"347892.88"	"106885.46"
"3"	"A3"	"10"	"1327919.4"	"349699.0"	"108302.72"
"3"	"A3"	"11"	"1327387.4"	"348697.5"	"107776.625"
"3"	"A3"	"12"	"1334021.9"	"349370.47"	"108751.555"
"3"	"A3"	"13"	"1340749.9"	"349395.4"	"108911.64"
"3"	"A3"	"14"	"1347734.0"	"349765.78"	"109142.52"
"3"	"A3"	"15"	"1347074.8"	"350747.06"	"109883.17"
"3"	"A3"	"16"	"1350263.0"	"349815.44"	"109719.12"
"3"	"A3"	"17"	"1356280.2"	"350769.62"	"110600.766"
"3"	"A3"	"18"	"1357745.9"	"350659.66"	"110715.26"
"3"	"A3"	"19"	"1364876.4"	"350885.56"	"111206.97"
"3"	"A3"	"20"	"1364227.0"	"352171.03"	"112011.3"
"3"	"A3"	"21"	"1366911.0"	"351292.34"	"113059.77"
"3"	"A3"	"22"	"1369780.6"	"351924.4"	"115428.54"
"3"	"A3"	"23"	"1375367.6"	"352026.75"	"119397.625"
"3"	"A3"	"24"	"1375097.9"	"352530.25"	"126078.05"
"3"	"A3"	"25"	"1379328.9"	"352482.88"	"138770.69"
"3"	"A3"	"26"	"1380887.9"	"352987.2"	"159637.72"
"3"	"A3"	"27"	"1385012.4"	"352869.66"	"193517.12"
"3"	"A3"	"28"	"1389883.9"	"353230.03"	"240603.25"
"3"	"A3"	"29"	"1389206.5"	"353213.16"	"298336.5"
"3"	"A3"	"30"	"1396006.6"	"353966.62"	"364316.22"
"3"	"A3"	"31"	"1400853.4"	"354495.66"	"432298.38"
"3"	"A3"	"32"	"1401507.9"	"355133.16"	"498055.44"
"3"	"A3"	"33"	"1403832.0"	"354131.8"	"556898.25"
"3"	"A3"	"34"	"1409529.2"	"354408.62"	"601326.56"
"3"	"A3"	"35"	"1412203.4"	"355203.75"	"622761.2"
"3"	"A3"	"36"	"1415560.1"	"354681.38"	"631645.56"
"3"	"A3"	"37"	"1418958.2"	"354826.47"	"636970.5"
"3"	"A3"	"38"	"1420245.0"	"355745.94"	"641114.06"
"3"	"A3"	"39"	"1421629.6"	"355584.7"	"643486.56"
"3"	"A3"	"40"	"1427335.9"	"355533.66"	"646228.7"
"3"	"A3"	"41"	"1429495.0"	"356759.94"	"646635.7"
"3"	"A3"	"42"	"1432819.0"	"356298.9"	"647711.56"
"3"	"A3"	"43"	"1436723.5"	"356460.66"	"648986.3"
"3"	"A3"	"44"	"1435388.5"	"356726.4"	"652082.8"
"3"	"A3"	"45"	"1440650.5"	"356524.84"	"652176.94"
"4"	"A4"	"1"	"1321270.0"	"363977.53"	"113461.15"
"4"	"A4"	"2"	"1263056.4"	"345008.9"	"107967.94"
"4"	"A4"	"3"	"1237300.5"	"341967.34"	"106547.23"
"4"	"A4"	"4"	"1259995.1"	"347833.1"	"107992.05"
"4"	"A4"	"5"	"1265476.2"	"348315.78"	"108118.97"
"4"	"A4"	"6"	"1270433.4"	"350395.66"	"108573.914"
"4"	"A4"	"7"	"1276582.1"	"350014.47"	"109435.04"
"4"	"A4"	"8"	"1282330.0"	"350880.06"	"109510.625"
"4"	"A4"	"9"	"1284877.2"	"351948.72"	"110150.43"
"4"	"A4"	"10"	"1290544.2"	"351266.03"	"110163.58"
"4"	"A4"	"11"	"1291171.2"	"351794.84"	"110752.266"
"4"	"A4"	"12"	"1296467.4"	"352464.7"	"110475.33"
"4"	"A4"	"13"	"1300189.5"	"352628.7"	"111307.516"
"4"	"A4"	"14"	"1305745.6"	"352255.94"	"111594.5"
"4"	"A4"	"15"	"1305017.8"	"352684.12"	"111571.43"
"4"	"A4"	"16"	"1304682.5"	"352432.97"	"111712.086"
"4"	"A4"	"17"	"1313274.4"	"354228.12"	"112682.35"
"4"	"A4"	"18"	"1316220.6"	"354225.9"	"113139.7"
"4"	"A4"	"19"	"1321210.0"	"354639.06"	"113323.414"
"4"	"A4"	"20"	"1325642.8"	"355440.97"	"113350.08"
"4"	"A4"	"21"	"1329194.8"	"355273.38"	"113719.76"
"4"	"A4"	"22"	"1331995.9"	"355399.66"	"114597.17"
"4"	"A4"	"23"	"1334911.6"	"355702.56"	"115338.57"
"4"	"A4"	"24"	"1337858.0"	"355799.56"	"116202.05"
"4"	"A4"	"25"	"1342277.2"	"355885.62"	"117084.15"
"4"	"A4"	"26"	"1344105.2"	"356976.84"	"120073.59"
"4"	"A4"	"27"	"1347076.1"	"356573.94"	"124220.01"
"4"	"A4"	"28"	"1352620.4"	"356771.62"	"132131.0"
"4"	"A4"	"29"	"1353328.1"	"357551.94"	"145963.8"
"4"	"A4"	"30"	"1359415.5"	"357544.4"	"170066.28"
"4"	"A4"	"31"	"1361608.5"	"357751.8"	"206973.8"
"4"	"A4"	"32"	"1362090.0"	"358369.78"	"257585.12"
"4"	"A4"	"33"	"1366892.4"	"357944.5"	"320214.62"
"4"	"A4"	"34"	"1371130.6"	"358784.88"	"392091.25"
