# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07242020-10.sds
# Description: SDS v1.4.1
# User Name: 
# Last Modified Date/Time: 2020-07-26 05:02:54 PM CDT
# Date Created: 2020-07-26 05:02:54 PM CDT
# Barcode: 
# Instrument Type: 7500 Fast System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-26 03:32:29 PM CDT
# Plate Run End Date/Time: 2020-07-26 05:02:54 PM CDT
# Run Duration: 90 minutes 25 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"2094689.5"	"530961.44"	"146778.56"
"1"	"A1"	"2"	"2082512.9"	"526675.9"	"146913.64"
"1"	"A1"	"3"	"2081048.1"	"525292.94"	"146914.45"
"1"	"A1"	"4"	"2080089.5"	"524318.8"	"146727.34"
"1"	"A1"	"5"	"2078481.6"	"523785.34"	"147138.2"
"1"	"A1"	"6"	"2076683.2"	"521715.66"	"146565.83"
"1"	"A1"	"7"	"2077361.2"	"522478.2"	"147161.39"
"1"	"A1"	"8"	"2077370.9"	"521444.16"	"147556.2"
"1"	"A1"	"9"	"2081398.2"	"521554.06"	"147674.38"
"1"	"A1"	"10"	"2085274.9"	"522304.9"	"148771.67"
"1"	"A1"	"11"	"2086194.4"	"522475.3"	"149266.05"
"1"	"A1"	"12"	"2089774.5"	"521716.9"	"149469.28"
"1"	"A1"	"13"	"2092984.2"	"521782.94"	"149783.78"
"1"	"A1"	"14"	"2095456.5"	"522065.7"	"150018.53"
"1"	"A1"	"15"	"2096726.4"	"521656.94"	"150519.84"
"1"	"A1"	"16"	"2105642.0"	"523042.9"	"151220.47"
"1"	"A1"	"17"	"2095046.8"	"519846.34"	"151532.98"
"1"	"A1"	"18"	"2139786.2"	"524900.94"	"153748.27"
"1"	"A1"	"19"	"2087557.4"	"520369.88"	"152800.52"
"1"	"A1"	"20"	"2066041.4"	"518511.62"	"152988.23"
"1"	"A1"	"21"	"2072679.1"	"517681.97"	"153726.45"
"1"	"A1"	"22"	"2073662.1"	"516865.66"	"156031.83"
"1"	"A1"	"23"	"2073981.4"	"517115.75"	"160428.84"
"1"	"A1"	"24"	"2069866.1"	"517377.25"	"168633.78"
"1"	"A1"	"25"	"2074636.4"	"516660.22"	"183033.02"
"1"	"A1"	"26"	"2071035.4"	"516559.25"	"207906.11"
"1"	"A1"	"27"	"2070370.2"	"516019.56"	"247445.78"
"1"	"A1"	"28"	"2073728.1"	"517012.25"	"304390.9"
"1"	"A1"	"29"	"2074888.1"	"516861.72"	"375366.38"
"1"	"A1"	"30"	"2076533.6"	"516424.34"	"456733.44"
"1"	"A1"	"31"	"2082764.0"	"516656.12"	"543167.75"
"1"	"A1"	"32"	"2072488.0"	"515559.62"	"627832.7"
"1"	"A1"	"33"	"2060335.8"	"514619.75"	"710189.5"
"1"	"A1"	"34"	"2056880.5"	"514666.7"	"782931.06"
"1"	"A1"	"35"	"2065232.2"	"513666.62"	"839295.44"
"1"	"A1"	"36"	"2068838.9"	"514992.5"	"866848.4"
"1"	"A1"	"37"	"2073087.2"	"513904.3"	"880772.06"
"1"	"A1"	"38"	"2078195.0"	"514546.44"	"890882.0"
"1"	"A1"	"39"	"2079719.0"	"515895.16"	"901522.2"
"1"	"A1"	"40"	"2080822.6"	"515303.72"	"914677.25"
"1"	"A1"	"41"	"2081272.4"	"514728.88"	"928061.25"
"1"	"A1"	"42"	"2089139.2"	"515037.22"	"946718.7"
"1"	"A1"	"43"	"2091388.1"	"515646.88"	"965661.2"
"1"	"A1"	"44"	"2089948.1"	"515705.06"	"984611.6"
"1"	"A1"	"45"	"2089926.9"	"514364.4"	"1002259.8"
"2"	"A2"	"1"	"2079188.2"	"529933.1"	"149212.67"
"2"	"A2"	"2"	"2076552.8"	"527725.2"	"149595.69"
"2"	"A2"	"3"	"2074709.6"	"526542.0"	"148968.55"
"2"	"A2"	"4"	"2073650.9"	"525143.2"	"149242.17"
"2"	"A2"	"5"	"2074756.8"	"524635.25"	"149270.45"
"2"	"A2"	"6"	"2070808.4"	"524560.6"	"150345.67"
"2"	"A2"	"7"	"2071556.0"	"524521.7"	"150184.72"
"2"	"A2"	"8"	"2070327.4"	"523768.9"	"150667.61"
"2"	"A2"	"9"	"2073330.2"	"522691.38"	"150699.89"
"2"	"A2"	"10"	"2072308.1"	"523440.12"	"151172.77"
"2"	"A2"	"11"	"2067403.2"	"521901.38"	"151518.6"
"2"	"A2"	"12"	"2066206.2"	"521353.25"	"151792.4"
"2"	"A2"	"13"	"2065964.2"	"521649.16"	"151745.2"
"2"	"A2"	"14"	"2076050.9"	"521661.78"	"152941.48"
"2"	"A2"	"15"	"2069398.8"	"521162.47"	"152374.88"
"2"	"A2"	"16"	"2081024.4"	"522052.25"	"153008.45"
"2"	"A2"	"17"	"2082431.9"	"522184.3"	"153641.8"
"2"	"A2"	"18"	"2092417.8"	"522868.44"	"154465.05"
"2"	"A2"	"19"	"2092826.6"	"522654.1"	"154677.08"
"2"	"A2"	"20"	"2094080.1"	"522236.5"	"154899.05"
"2"	"A2"	"21"	"2095518.8"	"522623.03"	"155563.88"
"2"	"A2"	"22"	"2101352.0"	"522020.47"	"156039.56"
"2"	"A2"	"23"	"2100371.8"	"522391.9"	"156767.58"
"2"	"A2"	"24"	"2106685.2"	"522668.5"	"157446.05"
"2"	"A2"	"25"	"2108808.8"	"522359.47"	"158842.81"
"2"	"A2"	"26"	"2109477.8"	"523365.16"	"160510.58"
"2"	"A2"	"27"	"2114737.5"	"523254.56"	"163970.61"
"2"	"A2"	"28"	"2116158.5"	"523879.06"	"170439.1"
"2"	"A2"	"29"	"2115505.0"	"523838.2"	"181830.0"
"2"	"A2"	"30"	"2119471.2"	"523978.62"	"201109.81"
"2"	"A2"	"31"	"2122938.8"	"523745.47"	"234335.86"
"2"	"A2"	"32"	"2124793.0"	"524284.8"	"283475.38"
"2"	"A2"	"33"	"2126533.5"	"523981.5"	"351396.2"
"2"	"A2"	"34"	"2127246.5"	"524431.4"	"436883.88"
"2"	"A2"	"35"	"2129667.5"	"524387.6"	"536000.9"
"2"	"A2"	"36"	"2135495.2"	"524507.7"	"646456.0"
"2"	"A2"	"37"	"2134633.0"	"525065.44"	"748307.9"
"2"	"A2"	"38"	"2138836.5"	"525211.9"	"810782.6"
"2"	"A2"	"39"	"2144624.8"	"524844.06"	"839130.3"
"2"	"A2"	"40"	"2148054.5"	"525443.9"	"852205.3"
"2"	"A2"	"41"	"2149916.2"	"525208.0"	"858113.7"
"2"	"A2"	"42"	"2149304.8"	"524205.72"	"861578.6"
"2"	"A2"	"43"	"2151658.0"	"525157.44"	"865010.5"
"2"	"A2"	"44"	"2151056.5"	"524260.06"	"866539.6"
"2"	"A2"	"45"	"2152593.5"	"523873.8"	"868499.25"
"3"	"A3"	"1"	"1966144.9"	"502990.88"	"139931.28"
"3"	"A3"	"2"	"1962324.0"	"501044.44"	"140159.75"
"3"	"A3"	"3"	"1957651.6"	"499249.72"	"140144.05"
"3"	"A3"	"4"	"1952294.4"	"498168.2"	"140002.14"
"3"	"A3"	"5"	"1949444.9"	"497688.28"	"140213.4"
"3"	"A3"	"6"	"1952634.1"	"496938.9"	"140618.78"
"3"	"A3"	"7"	"1954458.2"	"496768.16"	"140765.27"
"3"	"A3"	"8"	"1956022.5"	"496536.4"	"141180.3"
"3"	"A3"	"9"	"1957382.5"	"496299.75"	"141735.56"
"3"	"A3"	"10"	"1957451.6"	"495614.4"	"142032.69"
"3"	"A3"	"11"	"1960451.5"	"495817.3"	"142097.4"
"3"	"A3"	"12"	"1959808.9"	"495620.44"	"142747.7"
"3"	"A3"	"13"	"1961848.9"	"494517.44"	"142604.52"
"3"	"A3"	"14"	"1963601.8"	"495349.53"	"143358.38"
"3"	"A3"	"15"	"1965921.8"	"495172.1"	"143560.6"
"3"	"A3"	"16"	"1968492.8"	"494377.56"	"143826.66"
"3"	"A3"	"17"	"1969767.2"	"493911.06"	"144044.62"
"3"	"A3"	"18"	"1976834.2"	"493560.97"	"144838.75"
"3"	"A3"	"19"	"2002255.1"	"496104.2"	"145748.23"
"3"	"A3"	"20"	"2002213.5"	"495222.56"	"145850.7"
"3"	"A3"	"21"	"2000997.1"	"494500.03"	"145863.83"
"3"	"A3"	"22"	"2017964.6"	"495200.4"	"147426.42"
"3"	"A3"	"23"	"2021129.9"	"496003.2"	"147894.67"
"3"	"A3"	"24"	"2025185.0"	"496266.2"	"149220.16"
"3"	"A3"	"25"	"2031303.5"	"496035.2"	"150374.8"
"3"	"A3"	"26"	"2031877.8"	"496191.9"	"153387.45"
"3"	"A3"	"27"	"2038715.9"	"496442.94"	"158886.77"
"3"	"A3"	"28"	"2039449.8"	"496787.12"	"167510.56"
"3"	"A3"	"29"	"2046923.6"	"497585.53"	"183597.25"
"3"	"A3"	"30"	"2051121.6"	"498417.06"	"211238.86"
"3"	"A3"	"31"	"2050754.8"	"497579.38"	"253645.4"
"3"	"A3"	"32"	"2055530.4"	"498426.97"	"312965.47"
"3"	"A3"	"33"	"2060321.9"	"498372.22"	"388284.8"
"3"	"A3"	"34"	"2063632.0"	"498242.56"	"475629.38"
"3"	"A3"	"35"	"2062597.1"	"498616.28"	"572864.3"
"3"	"A3"	"36"	"2065558.2"	"498621.3"	"676634.75"
"3"	"A3"	"37"	"2069877.8"	"497581.8"	"761349.75"
"3"	"A3"	"38"	"2070955.9"	"498700.3"	"808585.75"
"3"	"A3"	"39"	"2077334.1"	"498367.94"	"835274.3"
"3"	"A3"	"40"	"2080823.8"	"498984.0"	"849673.75"
"3"	"A3"	"41"	"2085197.8"	"498307.06"	"857740.2"
"3"	"A3"	"42"	"2087289.4"	"498381.06"	"861449.56"
"3"	"A3"	"43"	"2088772.6"	"498533.06"	"863559.94"
"3"	"A3"	"44"	"2093008.8"	"498707.1"	"866236.1"
"3"	"A3"	"45"	"2095045.6"	"499640.88"	"868101.2"
"4"	"A4"	"1"	"1845394.0"	"475544.7"	"131634.72"
"4"	"A4"	"2"	"1841811.5"	"474847.5"	"132047.92"
"4"	"A4"	"3"	"1844686.2"	"473451.75"	"131628.61"
"4"	"A4"	"4"	"1846648.4"	"473056.2"	"132268.47"
"4"	"A4"	"5"	"1843151.6"	"472365.44"	"132240.55"
"4"	"A4"	"6"	"1844436.5"	"471978.34"	"132588.81"
"4"	"A4"	"7"	"1842823.1"	"472207.03"	"133095.34"
"4"	"A4"	"8"	"1841929.8"	"471950.84"	"133339.14"
"4"	"A4"	"9"	"1843782.1"	"471399.66"	"133573.8"
"4"	"A4"	"10"	"1845047.1"	"471739.5"	"133921.81"
"4"	"A4"	"11"	"1845341.2"	"471447.56"	"134370.58"
"4"	"A4"	"12"	"1845828.5"	"471213.22"	"134983.86"
"4"	"A4"	"13"	"1847050.6"	"471442.75"	"134766.81"
"4"	"A4"	"14"	"1847757.6"	"471512.7"	"135004.14"
"4"	"A4"	"15"	"1847760.0"	"471121.1"	"135642.38"
"4"	"A4"	"16"	"1851033.9"	"470954.84"	"135913.73"
"4"	"A4"	"17"	"1848707.4"	"470844.44"	"136427.25"
"4"	"A4"	"18"	"1853145.8"	"470164.38"	"136655.86"
"4"	"A4"	"19"	"1860916.0"	"469086.06"	"136931.58"
"4"	"A4"	"20"	"1865019.8"	"469814.53"	"137330.73"
"4"	"A4"	"21"	"1866419.0"	"469026.62"	"137824.56"
"4"	"A4"	"22"	"1863811.2"	"468540.38"	"138080.67"
"4"	"A4"	"23"	"1865352.9"	"468927.34"	"138507.92"
"4"	"A4"	"24"	"1862697.1"	"467753.0"	"138807.48"
"4"	"A4"	"25"	"1869120.4"	"467886.28"	"139712.61"
"4"	"A4"	"26"	"1871446.6"	"467588.88"	"140416.03"
"4"	"A4"	"27"	"1871331.2"	"466928.72"	"141918.19"
"4"	"A4"	"28"	"1874087.1"	"467227.03"	"144776.17"
"4"	"A4"	"29"	"1874160.8"	"466774.4"	"149670.45"
"4"	"A4"	"30"	"1879376.0"	"466677.5"	"159593.03"
"4"	"A4"	"31"	"1879910.0"	"467735.7"	"176740.62"
"4"	"A4"	"32"	"1884201.2"	"467382.8"	"206103.94"
"4"	"A4"	"33"	"1886795.9"	"468191.25"	"252405.88"
"4"	"A4"	"34"	"1888521.1"	"468267.9"	"318147.72"
"4"	"A4"	"35"	"1891804.4"	"468748.12"	"407039.1"
"4"	"A4"	"36"	"1896084.9"	"468826.94"	"514230.1"
"4"	"A4"	"37"	"1900588.4"	"468166.38"	"615647.25"
"4"	"A4"	"38"	"1902984.1"	"467986.66"	"680194.1"
"4"	"A4"	"39"	"1908059.2"	"467543.47"	"716488.6"
"4"	"A4"	"40"	"1911642.2"	"468097.12"	"737123.44"
"4"	"A4"	"41"	"1914462.6"	"468239.47"	"749345.44"
