# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07262020-2-3-4-5.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 06:00:22 PM CDT
# Date Created: 2020-07-27 04:24:30 PM CDT
# Barcode: H390K9LO
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-27 11:27:23 AM CDT
# Plate Run End Date/Time: 2020-07-27 01:18:34 PM CDT
# Run Duration: 111 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"164129.67"	"101189.14"	"28492.113"
"1"	"A1"	"2"	"163860.31"	"100979.586"	"28304.922"
"1"	"A1"	"3"	"163356.52"	"100530.68"	"28198.553"
"1"	"A1"	"4"	"162985.22"	"99896.41"	"28282.768"
"1"	"A1"	"5"	"162302.81"	"99650.61"	"28201.271"
"1"	"A1"	"6"	"162009.67"	"99485.125"	"27954.69"
"1"	"A1"	"7"	"161681.44"	"99315.31"	"27904.426"
"1"	"A1"	"8"	"161644.0"	"98983.04"	"27968.426"
"1"	"A1"	"9"	"161970.5"	"98939.266"	"28085.336"
"1"	"A1"	"10"	"163205.62"	"99284.54"	"28234.28"
"1"	"A1"	"11"	"165888.77"	"100146.23"	"28572.152"
"1"	"A1"	"12"	"167835.23"	"100648.64"	"28726.629"
"1"	"A1"	"13"	"169915.16"	"101318.91"	"29032.396"
"1"	"A1"	"14"	"170860.22"	"101448.1"	"29277.889"
"1"	"A1"	"15"	"171502.75"	"101826.414"	"29520.867"
"1"	"A1"	"16"	"173277.6"	"102446.43"	"29620.037"
"1"	"A1"	"17"	"174399.72"	"102951.71"	"29810.94"
"1"	"A1"	"18"	"175648.03"	"103446.87"	"30037.041"
"1"	"A1"	"19"	"176682.86"	"103442.54"	"30329.648"
"1"	"A1"	"20"	"177587.67"	"103648.03"	"30528.012"
"1"	"A1"	"21"	"178492.78"	"103852.695"	"30758.71"
"1"	"A1"	"22"	"179139.56"	"104225.766"	"31175.553"
"1"	"A1"	"23"	"180365.27"	"104546.125"	"31814.668"
"1"	"A1"	"24"	"180881.67"	"104663.99"	"32991.7"
"1"	"A1"	"25"	"182053.33"	"105021.32"	"35104.406"
"1"	"A1"	"26"	"182601.2"	"105222.87"	"38912.28"
"1"	"A1"	"27"	"183291.0"	"105429.85"	"45372.348"
"1"	"A1"	"28"	"184181.53"	"105435.58"	"55626.3"
"1"	"A1"	"29"	"185212.38"	"105738.23"	"70949.35"
"1"	"A1"	"30"	"185900.06"	"106026.76"	"91207.484"
"1"	"A1"	"31"	"186679.92"	"106238.555"	"115807.15"
"1"	"A1"	"32"	"187342.14"	"106525.27"	"141032.02"
"1"	"A1"	"33"	"187919.61"	"106453.125"	"160063.23"
"1"	"A1"	"34"	"188290.84"	"106658.48"	"171139.86"
"1"	"A1"	"35"	"189042.39"	"106923.91"	"177129.5"
"1"	"A1"	"36"	"190144.03"	"107263.85"	"180223.89"
"1"	"A1"	"37"	"190554.45"	"107350.04"	"181854.03"
"1"	"A1"	"38"	"191035.25"	"107563.44"	"182985.14"
"1"	"A1"	"39"	"191759.94"	"107465.94"	"184068.8"
"1"	"A1"	"40"	"192203.06"	"107749.96"	"185019.0"
"1"	"A1"	"41"	"193356.33"	"107909.45"	"186276.42"
"1"	"A1"	"42"	"193501.56"	"107766.6"	"187426.8"
"1"	"A1"	"43"	"193808.42"	"108027.875"	"189019.89"
"1"	"A1"	"44"	"194756.22"	"108239.63"	"190848.62"
"1"	"A1"	"45"	"195221.78"	"108281.09"	"192853.06"
"2"	"A2"	"1"	"170376.86"	"107711.14"	"31845.295"
"2"	"A2"	"2"	"170089.72"	"107518.96"	"31814.65"
"2"	"A2"	"3"	"169585.0"	"106958.25"	"31719.0"
"2"	"A2"	"4"	"169031.05"	"106721.69"	"31612.656"
"2"	"A2"	"5"	"168640.42"	"106506.414"	"31525.508"
"2"	"A2"	"6"	"168527.61"	"106077.164"	"31521.646"
"2"	"A2"	"7"	"168533.05"	"105878.77"	"31590.88"
"2"	"A2"	"8"	"168285.69"	"105692.06"	"31577.297"
"2"	"A2"	"9"	"168170.97"	"105601.89"	"31535.65"
"2"	"A2"	"10"	"168096.25"	"105525.305"	"31514.186"
"2"	"A2"	"11"	"167908.75"	"105400.87"	"31502.25"
"2"	"A2"	"12"	"167998.69"	"105386.9"	"31544.148"
"2"	"A2"	"13"	"168652.36"	"105496.555"	"31770.973"
"2"	"A2"	"14"	"169733.11"	"105881.91"	"31998.217"
"2"	"A2"	"15"	"173126.88"	"107174.05"	"32295.41"
"2"	"A2"	"16"	"178294.6"	"109226.91"	"33004.72"
"2"	"A2"	"17"	"180386.14"	"109916.95"	"33301.953"
"2"	"A2"	"18"	"180778.61"	"109870.984"	"33397.55"
"2"	"A2"	"19"	"182840.36"	"110279.695"	"33609.38"
"2"	"A2"	"20"	"185273.38"	"111289.83"	"34065.54"
"2"	"A2"	"21"	"186884.94"	"111867.41"	"34451.39"
"2"	"A2"	"22"	"187724.98"	"112152.19"	"34526.77"
"2"	"A2"	"23"	"188721.64"	"112730.49"	"34754.62"
"2"	"A2"	"24"	"190223.0"	"113226.734"	"34973.855"
"2"	"A2"	"25"	"191056.31"	"113429.82"	"35141.53"
"2"	"A2"	"26"	"192541.64"	"113871.55"	"35724.867"
"2"	"A2"	"27"	"194379.05"	"114260.97"	"36468.426"
"2"	"A2"	"28"	"195743.12"	"114614.81"	"37534.863"
"2"	"A2"	"29"	"196567.72"	"115101.73"	"39532.15"
"2"	"A2"	"30"	"197583.36"	"115537.84"	"42985.9"
"2"	"A2"	"31"	"198495.64"	"115863.25"	"48828.496"
"2"	"A2"	"32"	"199620.0"	"116181.31"	"58525.26"
"2"	"A2"	"33"	"200518.61"	"116481.945"	"73171.3"
"2"	"A2"	"34"	"201888.0"	"116962.695"	"92548.56"
"2"	"A2"	"35"	"203129.22"	"117267.82"	"116304.24"
"2"	"A2"	"36"	"204648.06"	"117500.71"	"143123.06"
"2"	"A2"	"37"	"206554.1"	"117917.3"	"167204.58"
"2"	"A2"	"38"	"209079.78"	"118216.83"	"183548.55"
"2"	"A2"	"39"	"210652.7"	"118681.984"	"192207.75"
"2"	"A2"	"40"	"212277.53"	"119098.07"	"196587.55"
"2"	"A2"	"41"	"213692.97"	"119041.39"	"199733.81"
"2"	"A2"	"42"	"214986.83"	"119201.72"	"202244.39"
"2"	"A2"	"43"	"215990.28"	"119678.8"	"204434.92"
"2"	"A2"	"44"	"216919.39"	"120179.445"	"206543.3"
"2"	"A2"	"45"	"217929.36"	"120492.96"	"208536.11"
"3"	"A3"	"1"	"169109.23"	"107282.71"	"33373.254"
"3"	"A3"	"2"	"168958.23"	"107129.16"	"33359.086"
"3"	"A3"	"3"	"168447.81"	"106737.26"	"33400.27"
"3"	"A3"	"4"	"167968.56"	"106459.67"	"33391.82"
"3"	"A3"	"5"	"167771.75"	"106244.11"	"33306.027"
"3"	"A3"	"6"	"167725.97"	"106069.0"	"33238.035"
"3"	"A3"	"7"	"167779.34"	"105851.45"	"33226.168"
"3"	"A3"	"8"	"167796.9"	"105728.55"	"33293.49"
"3"	"A3"	"9"	"167873.81"	"105607.46"	"33261.246"
"3"	"A3"	"10"	"167562.73"	"105557.72"	"33167.312"
"3"	"A3"	"11"	"168401.72"	"105850.25"	"33327.81"
"3"	"A3"	"12"	"172082.72"	"106759.22"	"34003.105"
"3"	"A3"	"13"	"172659.66"	"106425.836"	"33890.08"
"3"	"A3"	"14"	"172418.89"	"105918.734"	"33735.39"
"3"	"A3"	"15"	"172487.56"	"105770.305"	"33626.156"
"3"	"A3"	"16"	"172617.66"	"105699.97"	"33601.23"
"3"	"A3"	"17"	"172603.84"	"105489.81"	"33776.207"
"3"	"A3"	"18"	"172456.44"	"105414.6"	"33798.99"
"3"	"A3"	"19"	"172632.89"	"105396.66"	"33812.926"
"3"	"A3"	"20"	"173113.48"	"105414.375"	"33851.96"
"3"	"A3"	"21"	"173176.3"	"105546.97"	"33823.223"
"3"	"A3"	"22"	"173252.31"	"105525.39"	"33909.062"
"3"	"A3"	"23"	"173444.44"	"105423.266"	"34155.91"
"3"	"A3"	"24"	"173877.98"	"105353.48"	"34462.14"
"3"	"A3"	"25"	"174072.14"	"105363.98"	"34922.45"
"3"	"A3"	"26"	"174262.75"	"105458.87"	"35454.355"
"3"	"A3"	"27"	"174544.95"	"105480.61"	"36560.246"
"3"	"A3"	"28"	"174788.9"	"105610.87"	"38683.758"
"3"	"A3"	"29"	"175266.38"	"105785.92"	"42826.43"
"3"	"A3"	"30"	"175784.97"	"105825.414"	"49540.668"
"3"	"A3"	"31"	"176099.34"	"105872.38"	"59888.633"
"3"	"A3"	"32"	"176387.4"	"106001.38"	"74839.51"
"3"	"A3"	"33"	"176832.72"	"106125.32"	"93973.37"
"3"	"A3"	"34"	"176992.98"	"106290.96"	"115682.055"
"3"	"A3"	"35"	"177583.22"	"106550.55"	"138837.3"
"3"	"A3"	"36"	"178328.39"	"106668.16"	"160757.6"
"3"	"A3"	"37"	"178630.84"	"106826.7"	"176500.42"
"3"	"A3"	"38"	"179276.58"	"106989.09"	"184479.84"
"3"	"A3"	"39"	"179774.3"	"107039.305"	"188119.39"
"3"	"A3"	"40"	"180171.36"	"107260.21"	"189850.84"
"3"	"A3"	"41"	"180873.19"	"107331.15"	"190962.73"
"3"	"A3"	"42"	"181277.86"	"107389.96"	"191830.44"
"3"	"A3"	"43"	"181645.23"	"107584.19"	"192388.02"
"3"	"A3"	"44"	"182220.52"	"107741.55"	"193004.25"
"3"	"A3"	"45"	"182758.31"	"107673.19"	"193795.77"
"4"	"A4"	"1"	"107483.15"	"93077.08"	"26665.277"
"4"	"A4"	"2"	"108045.61"	"93456.29"	"26792.855"
"4"	"A4"	"3"	"114858.73"	"97937.695"	"27989.922"
"4"	"A4"	"4"	"120171.77"	"101019.76"	"28903.223"
"4"	"A4"	"5"	"122733.34"	"102441.94"	"29236.088"
"4"	"A4"	"6"	"123986.44"	"102979.07"	"29515.66"
"4"	"A4"	"7"	"125475.3"	"103784.85"	"29611.768"
"4"	"A4"	"8"	"126543.695"	"104223.375"	"29751.697"
"4"	"A4"	"9"	"127551.875"	"104709.59"	"30012.725"
"4"	"A4"	"10"	"128473.9"	"105020.59"	"30311.244"
"4"	"A4"	"11"	"129070.49"	"105420.6"	"30405.8"
"4"	"A4"	"12"	"129902.36"	"105728.94"	"30483.105"
"4"	"A4"	"13"	"130622.08"	"106057.91"	"30513.154"
"4"	"A4"	"14"	"131363.05"	"106048.16"	"30539.324"
"4"	"A4"	"15"	"132121.78"	"106367.195"	"30818.617"
"4"	"A4"	"16"	"132493.02"	"106663.45"	"30962.094"
"4"	"A4"	"17"	"133028.48"	"106790.57"	"31077.594"
"4"	"A4"	"18"	"133663.47"	"107019.22"	"31160.135"
"4"	"A4"	"19"	"134134.55"	"107101.164"	"31248.816"
"4"	"A4"	"20"	"134668.03"	"107295.84"	"31308.895"
"4"	"A4"	"21"	"135483.06"	"107594.164"	"31467.145"
"4"	"A4"	"22"	"136104.42"	"107737.38"	"31637.875"
