# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07222020_01_02_04.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 05:56:01 PM CDT
# Date Created: 2020-07-22 11:37:19 PM CDT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-22 06:39:16 PM CDT
# Plate Run End Date/Time: 2020-07-22 08:30:03 PM CDT
# Run Duration: 110 minutes 47 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"171800.7"	"106445.36"	"31043.53"
"1"	"A1"	"2"	"170838.27"	"105865.445"	"30887.033"
"1"	"A1"	"3"	"170363.77"	"105522.3"	"30813.123"
"1"	"A1"	"4"	"170890.58"	"105723.88"	"30993.277"
"1"	"A1"	"5"	"170591.45"	"105569.59"	"30862.54"
"1"	"A1"	"6"	"170008.03"	"105084.195"	"30641.72"
"1"	"A1"	"7"	"169171.88"	"104262.47"	"30424.914"
"1"	"A1"	"8"	"168058.58"	"103654.67"	"30344.023"
"1"	"A1"	"9"	"166139.98"	"103036.375"	"30289.498"
"1"	"A1"	"10"	"166332.78"	"103128.266"	"30338.633"
"1"	"A1"	"11"	"168931.17"	"104027.31"	"30583.277"
"1"	"A1"	"12"	"169643.73"	"104134.336"	"30650.832"
"1"	"A1"	"13"	"169678.08"	"104031.305"	"30865.719"
"1"	"A1"	"14"	"170049.86"	"104109.82"	"31033.277"
"1"	"A1"	"15"	"171602.56"	"104413.55"	"31241.74"
"1"	"A1"	"16"	"173216.9"	"104736.336"	"31367.328"
"1"	"A1"	"17"	"175248.44"	"105096.88"	"31405.113"
"1"	"A1"	"18"	"177054.19"	"105785.43"	"31726.393"
"1"	"A1"	"19"	"177586.22"	"105890.02"	"31976.871"
"1"	"A1"	"20"	"176654.48"	"105711.11"	"31988.168"
"1"	"A1"	"21"	"176504.8"	"105585.664"	"32049.025"
"1"	"A1"	"22"	"178110.84"	"105709.38"	"32121.527"
"1"	"A1"	"23"	"179334.36"	"105768.57"	"32186.371"
"1"	"A1"	"24"	"179628.3"	"105688.46"	"32427.84"
"1"	"A1"	"25"	"179704.1"	"105665.72"	"32678.887"
"1"	"A1"	"26"	"181212.28"	"106215.34"	"33365.15"
"1"	"A1"	"27"	"182614.48"	"106721.23"	"34392.266"
"1"	"A1"	"28"	"184046.75"	"107224.05"	"36153.863"
"1"	"A1"	"29"	"184537.8"	"107354.805"	"38869.934"
"1"	"A1"	"30"	"184895.8"	"107362.79"	"43751.766"
"1"	"A1"	"31"	"185072.5"	"107508.03"	"51672.395"
"1"	"A1"	"32"	"186885.05"	"107847.5"	"63347.418"
"1"	"A1"	"33"	"188097.52"	"108042.734"	"78448.5"
"1"	"A1"	"34"	"189771.45"	"108101.73"	"96579.555"
"1"	"A1"	"35"	"193335.0"	"107985.15"	"116751.53"
"1"	"A1"	"36"	"199759.94"	"107715.82"	"137615.3"
"1"	"A1"	"37"	"210238.34"	"107358.83"	"156886.61"
"1"	"A1"	"38"	"227153.52"	"107370.664"	"171448.62"
"1"	"A1"	"39"	"249082.38"	"108322.84"	"180225.31"
"1"	"A1"	"40"	"271073.47"	"108518.15"	"183204.0"
"1"	"A1"	"41"	"292445.12"	"108586.86"	"185872.8"
"1"	"A1"	"42"	"312372.56"	"108451.98"	"186944.4"
"1"	"A1"	"43"	"330744.47"	"108412.766"	"187387.27"
"1"	"A1"	"44"	"348624.3"	"108492.04"	"188140.98"
"1"	"A1"	"45"	"362177.6"	"108324.51"	"188513.53"
"2"	"A2"	"1"	"168930.11"	"107211.96"	"32151.033"
"2"	"A2"	"2"	"167897.53"	"106592.164"	"31956.385"
"2"	"A2"	"3"	"167368.62"	"106281.95"	"31881.793"
"2"	"A2"	"4"	"167830.47"	"106610.2"	"31966.4"
"2"	"A2"	"5"	"167768.14"	"106390.73"	"31968.547"
"2"	"A2"	"6"	"167533.45"	"105902.12"	"31979.8"
"2"	"A2"	"7"	"166798.77"	"105405.07"	"31969.912"
"2"	"A2"	"8"	"165367.28"	"104710.805"	"31983.303"
"2"	"A2"	"9"	"163564.27"	"104326.76"	"31903.377"
"2"	"A2"	"10"	"163866.11"	"104409.43"	"31918.79"
"2"	"A2"	"11"	"166686.06"	"104995.266"	"32112.877"
"2"	"A2"	"12"	"167413.3"	"105111.39"	"32180.9"
"2"	"A2"	"13"	"167304.8"	"105000.02"	"32169.42"
