# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_08022020-5.sds
# Description: SDS v1.5.1
# User Name: 
# Last Modified Date/Time: 2020-08-03 06:22:10 AM CDT
# Date Created: 2020-08-03 06:22:10 AM CDT
# Barcode: 
# Instrument Type: 7500 Fast System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-08-03 04:51:45 AM CDT
# Plate Run End Date/Time: 2020-08-03 06:22:10 AM CDT
# Run Duration: 90 minutes 25 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"1079245.1"	"330852.97"	"90375.22"
"1"	"A1"	"2"	"1014494.7"	"312180.66"	"83185.586"
"1"	"A1"	"3"	"1008397.75"	"310481.4"	"82899.74"
"1"	"A1"	"4"	"1006578.5"	"309554.03"	"82303.6"
"1"	"A1"	"5"	"1003226.5"	"308632.6"	"82778.8"
"1"	"A1"	"6"	"1003940.9"	"309224.47"	"83092.64"
"1"	"A1"	"7"	"1002252.8"	"308573.12"	"83024.02"
"1"	"A1"	"8"	"1001112.56"	"308438.75"	"82618.22"
"1"	"A1"	"9"	"1003413.2"	"308795.06"	"83178.83"
"1"	"A1"	"10"	"1005259.9"	"308938.9"	"83709.83"
"1"	"A1"	"11"	"974265.8"	"305756.4"	"81440.11"
"1"	"A1"	"12"	"974796.5"	"304435.0"	"81338.47"
"1"	"A1"	"13"	"974959.2"	"305088.4"	"82110.23"
"1"	"A1"	"14"	"974244.7"	"304036.22"	"82702.44"
"1"	"A1"	"15"	"975587.56"	"303653.8"	"81797.13"
"1"	"A1"	"16"	"971991.9"	"303719.0"	"82786.9"
"1"	"A1"	"17"	"973398.1"	"304740.84"	"82673.086"
"1"	"A1"	"18"	"974363.2"	"304424.38"	"82907.2"
"1"	"A1"	"19"	"973969.7"	"304083.72"	"83155.164"
"1"	"A1"	"20"	"977704.9"	"304778.94"	"83666.43"
"1"	"A1"	"21"	"981120.75"	"304875.78"	"84064.53"
"1"	"A1"	"22"	"978088.56"	"303568.47"	"83684.69"
"1"	"A1"	"23"	"977711.9"	"303474.2"	"84132.805"
"1"	"A1"	"24"	"981726.4"	"304601.6"	"84667.016"
"1"	"A1"	"25"	"978998.5"	"304027.2"	"84904.445"
"1"	"A1"	"26"	"980555.4"	"304987.56"	"86593.72"
"1"	"A1"	"27"	"984036.75"	"305246.28"	"87530.7"
"1"	"A1"	"28"	"984412.3"	"304320.78"	"90751.164"
"1"	"A1"	"29"	"983126.06"	"304174.47"	"96853.88"
"1"	"A1"	"30"	"986610.44"	"303935.9"	"108366.3"
"1"	"A1"	"31"	"984663.6"	"304766.56"	"126695.516"
"1"	"A1"	"32"	"987430.94"	"304150.0"	"157020.95"
"1"	"A1"	"33"	"985299.94"	"304747.16"	"201495.69"
"1"	"A1"	"34"	"990469.2"	"305338.3"	"259964.61"
"1"	"A1"	"35"	"988674.0"	"305434.3"	"330930.7"
"1"	"A1"	"36"	"991784.0"	"305614.6"	"392519.6"
"1"	"A1"	"37"	"994642.9"	"305350.84"	"430624.47"
"1"	"A1"	"38"	"997402.6"	"304897.2"	"449489.4"
"1"	"A1"	"39"	"999601.44"	"304307.47"	"459893.9"
"1"	"A1"	"40"	"1000494.94"	"305586.72"	"465525.6"
"1"	"A1"	"41"	"1001208.0"	"305902.38"	"469756.8"
"1"	"A1"	"42"	"1000531.7"	"305903.12"	"471689.06"
"1"	"A1"	"43"	"1003118.0"	"306100.0"	"472808.12"
"1"	"A1"	"44"	"1001535.6"	"305397.28"	"474809.66"
"1"	"A1"	"45"	"1003975.44"	"306330.53"	"475517.16"
"2"	"A2"	"1"	"1008873.9"	"307436.3"	"84927.25"
"2"	"A2"	"2"	"976650.9"	"299608.75"	"81301.586"
"2"	"A2"	"3"	"977366.75"	"299798.78"	"81652.29"
"2"	"A2"	"4"	"976317.94"	"299241.6"	"81437.45"
"2"	"A2"	"5"	"976950.2"	"299502.3"	"81882.984"
"2"	"A2"	"6"	"974319.6"	"298296.0"	"81990.68"
"2"	"A2"	"7"	"974650.0"	"298944.88"	"81842.03"
"2"	"A2"	"8"	"977643.25"	"299395.3"	"82644.37"
"2"	"A2"	"9"	"977399.8"	"299332.94"	"82663.35"
"2"	"A2"	"10"	"979131.6"	"299320.53"	"82081.42"
"2"	"A2"	"11"	"982293.9"	"299384.97"	"82686.13"
"2"	"A2"	"12"	"983715.75"	"299304.06"	"83085.93"
"2"	"A2"	"13"	"989363.4"	"299980.4"	"83160.0"
"2"	"A2"	"14"	"986812.8"	"300225.53"	"83277.36"
"2"	"A2"	"15"	"992050.75"	"301427.38"	"83877.586"
"2"	"A2"	"16"	"997586.94"	"301341.72"	"84101.45"
"2"	"A2"	"17"	"999394.44"	"301688.03"	"84833.42"
"2"	"A2"	"18"	"1006308.8"	"302125.47"	"84709.82"
"2"	"A2"	"19"	"1006997.9"	"302915.1"	"84864.36"
"2"	"A2"	"20"	"1011534.3"	"303144.3"	"85689.46"
"2"	"A2"	"21"	"1016757.56"	"302822.94"	"85999.19"
"2"	"A2"	"22"	"1019795.25"	"303836.3"	"86057.3"
"2"	"A2"	"23"	"1026224.6"	"304052.0"	"85907.4"
"2"	"A2"	"24"	"1024771.4"	"303726.97"	"86534.18"
"2"	"A2"	"25"	"1025467.56"	"304293.72"	"86659.1"
"2"	"A2"	"26"	"1026003.44"	"303814.78"	"87918.08"
"2"	"A2"	"27"	"1031978.06"	"304538.34"	"88749.734"
"2"	"A2"	"28"	"1031639.06"	"304556.44"	"90029.62"
"2"	"A2"	"29"	"1034588.8"	"304596.12"	"92362.54"
"2"	"A2"	"30"	"1034036.7"	"304760.3"	"97762.0"
"2"	"A2"	"31"	"1035154.94"	"304512.06"	"110078.83"
"2"	"A2"	"32"	"1039365.4"	"305211.44"	"133080.25"
"2"	"A2"	"33"	"1042873.44"	"305521.2"	"177647.44"
"2"	"A2"	"34"	"1042370.06"	"305634.88"	"233163.98"
"2"	"A2"	"35"	"1044144.8"	"305989.94"	"275456.6"
"2"	"A2"	"36"	"1046594.4"	"305417.84"	"301551.94"
"2"	"A2"	"37"	"1048332.9"	"305820.5"	"315941.47"
"2"	"A2"	"38"	"1052752.8"	"306205.75"	"326019.2"
"2"	"A2"	"39"	"1052665.4"	"306064.1"	"331585.03"
"2"	"A2"	"40"	"1054097.9"	"306360.53"	"334921.53"
"2"	"A2"	"41"	"1056631.0"	"306722.22"	"338093.1"
"2"	"A2"	"42"	"1056835.9"	"306598.03"	"339822.4"
"2"	"A2"	"43"	"1061084.9"	"307826.6"	"342317.84"
"2"	"A2"	"44"	"1062174.0"	"307409.84"	"344381.88"
"2"	"A2"	"45"	"1063995.4"	"307832.28"	"345891.72"
"3"	"A3"	"1"	"930428.4"	"285491.2"	"80431.79"
"3"	"A3"	"2"	"908371.06"	"280907.44"	"78442.02"
"3"	"A3"	"3"	"909464.56"	"281252.2"	"78294.57"
"3"	"A3"	"4"	"906972.3"	"280911.97"	"78466.93"
"3"	"A3"	"5"	"907420.1"	"281238.97"	"78743.62"
"3"	"A3"	"6"	"908683.06"	"281880.47"	"78422.914"
"3"	"A3"	"7"	"911156.94"	"281263.44"	"78923.04"
"3"	"A3"	"8"	"911089.8"	"280890.28"	"78813.97"
"3"	"A3"	"9"	"912395.3"	"281515.62"	"79402.734"
"3"	"A3"	"10"	"912141.0"	"282038.8"	"79198.16"
"3"	"A3"	"11"	"913946.44"	"281614.62"	"79449.805"
"3"	"A3"	"12"	"916674.75"	"281223.97"	"79691.76"
"3"	"A3"	"13"	"918124.25"	"281505.25"	"79965.695"
"3"	"A3"	"14"	"922617.25"	"282639.72"	"80136.766"
"3"	"A3"	"15"	"926490.5"	"283679.2"	"81112.98"
"3"	"A3"	"16"	"929038.94"	"283231.66"	"81451.336"
"3"	"A3"	"17"	"931627.9"	"283659.7"	"81664.5"
"3"	"A3"	"18"	"934092.75"	"283906.06"	"82760.25"
"3"	"A3"	"19"	"936890.4"	"284061.47"	"83317.43"
"3"	"A3"	"20"	"939473.2"	"284373.6"	"85521.58"
"3"	"A3"	"21"	"944510.3"	"285280.6"	"89408.08"
"3"	"A3"	"22"	"945342.5"	"284741.72"	"96351.84"
"3"	"A3"	"23"	"948145.7"	"285343.94"	"107741.28"
"3"	"A3"	"24"	"949309.7"	"285313.28"	"126812.25"
"3"	"A3"	"25"	"952048.8"	"285803.6"	"156387.8"
"3"	"A3"	"26"	"954048.75"	"285538.25"	"195862.39"
"3"	"A3"	"27"	"956140.8"	"286264.34"	"243744.6"
"3"	"A3"	"28"	"958336.1"	"286629.84"	"296551.94"
"3"	"A3"	"29"	"961436.44"	"286583.4"	"350696.7"
"3"	"A3"	"30"	"962390.56"	"287240.0"	"404495.44"
"3"	"A3"	"31"	"965027.6"	"286241.56"	"444144.62"
"3"	"A3"	"32"	"966565.44"	"288039.38"	"464047.78"
"3"	"A3"	"33"	"970295.5"	"287660.66"	"473900.8"
"3"	"A3"	"34"	"971042.0"	"287418.12"	"478692.3"
"3"	"A3"	"35"	"974779.0"	"287771.03"	"481836.62"
"3"	"A3"	"36"	"974486.2"	"288037.94"	"483853.34"
"3"	"A3"	"37"	"978183.5"	"287272.56"	"485056.94"
"3"	"A3"	"38"	"979233.9"	"287458.88"	"486602.62"
"3"	"A3"	"39"	"979516.2"	"288161.8"	"487764.16"
"3"	"A3"	"40"	"982468.44"	"288446.53"	"488588.1"
"3"	"A3"	"41"	"983562.8"	"288140.38"	"490239.4"
"3"	"A3"	"42"	"983474.2"	"288059.72"	"490185.88"
"3"	"A3"	"43"	"985087.06"	"288281.2"	"491138.44"
"3"	"A3"	"44"	"986962.3"	"288997.44"	"492202.22"
"3"	"A3"	"45"	"987510.9"	"288368.72"	"493408.97"
"4"	"A4"	"1"	"917463.8"	"278934.06"	"77578.03"
"4"	"A4"	"2"	"896805.56"	"275638.16"	"75550.484"
"4"	"A4"	"3"	"891649.1"	"274320.25"	"75599.83"
"4"	"A4"	"4"	"892022.94"	"274509.72"	"75370.73"
"4"	"A4"	"5"	"890953.9"	"274110.47"	"75374.63"
"4"	"A4"	"6"	"891209.9"	"274406.28"	"75477.04"
"4"	"A4"	"7"	"893139.3"	"273506.22"	"75452.32"
"4"	"A4"	"8"	"891874.6"	"273997.78"	"75640.48"
"4"	"A4"	"9"	"894845.06"	"275079.84"	"76118.55"
"4"	"A4"	"10"	"895214.5"	"274079.75"	"76052.31"
"4"	"A4"	"11"	"897702.6"	"274486.97"	"76089.58"
"4"	"A4"	"12"	"898113.7"	"274873.53"	"76464.63"
