# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_08012020_01_02_03.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 06:37:22 PM CDT
# Date Created: 2020-08-02 09:42:20 AM CDT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-08-02 04:44:34 AM CDT
# Plate Run End Date/Time: 2020-08-02 06:35:35 AM CDT
# Run Duration: 111 minutes 1 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"170915.39"	"105393.1"	"27730.635"
"1"	"A1"	"2"	"170330.81"	"105030.92"	"27591.969"
"1"	"A1"	"3"	"169437.84"	"104535.4"	"27347.064"
"1"	"A1"	"4"	"168854.92"	"104240.99"	"27273.625"
"1"	"A1"	"5"	"168520.98"	"103739.08"	"27272.383"
"1"	"A1"	"6"	"167993.36"	"103276.63"	"27258.09"
"1"	"A1"	"7"	"167557.81"	"102959.7"	"27205.594"
"1"	"A1"	"8"	"167463.94"	"102847.23"	"27220.434"
"1"	"A1"	"9"	"167550.36"	"102833.7"	"27344.475"
"1"	"A1"	"10"	"167467.83"	"102708.27"	"27182.07"
"1"	"A1"	"11"	"167240.92"	"102595.59"	"27220.734"
"1"	"A1"	"12"	"167212.67"	"102538.72"	"27580.486"
"1"	"A1"	"13"	"167353.98"	"102542.41"	"27634.084"
"1"	"A1"	"14"	"167572.5"	"102509.11"	"27689.162"
"1"	"A1"	"15"	"167827.34"	"102476.586"	"27775.47"
"1"	"A1"	"16"	"167863.34"	"102378.984"	"27841.646"
"1"	"A1"	"17"	"167932.36"	"102352.08"	"27862.475"
"1"	"A1"	"18"	"168092.22"	"102420.05"	"28137.63"
"1"	"A1"	"19"	"168180.2"	"102434.0"	"28315.91"
"1"	"A1"	"20"	"168244.17"	"102483.15"	"28359.166"
"1"	"A1"	"21"	"168471.55"	"102297.484"	"28493.889"
"1"	"A1"	"22"	"168773.19"	"102301.164"	"28678.922"
"1"	"A1"	"23"	"169227.1"	"102524.86"	"28892.336"
"1"	"A1"	"24"	"169494.36"	"102519.5"	"29608.299"
"1"	"A1"	"25"	"169788.83"	"102529.64"	"30863.531"
"1"	"A1"	"26"	"170069.64"	"102772.99"	"33204.15"
"1"	"A1"	"27"	"170680.36"	"102862.42"	"36904.133"
"1"	"A1"	"28"	"170796.48"	"102976.78"	"43110.086"
"1"	"A1"	"29"	"171170.92"	"103067.9"	"52775.96"
"1"	"A1"	"30"	"172958.05"	"103889.03"	"66475.95"
"1"	"A1"	"31"	"177164.06"	"105369.055"	"83463.58"
"1"	"A1"	"32"	"179384.34"	"105975.09"	"102376.414"
"1"	"A1"	"33"	"180647.62"	"106337.92"	"122564.57"
"1"	"A1"	"34"	"181635.42"	"106719.33"	"142596.56"
"1"	"A1"	"35"	"182365.12"	"107144.01"	"159448.31"
"1"	"A1"	"36"	"183605.23"	"107427.64"	"169507.16"
"1"	"A1"	"37"	"184796.9"	"107732.91"	"174712.73"
"1"	"A1"	"38"	"185946.28"	"108188.36"	"177599.9"
"1"	"A1"	"39"	"186675.52"	"108601.36"	"179204.78"
"1"	"A1"	"40"	"188112.72"	"108991.44"	"180515.1"
"1"	"A1"	"41"	"188779.4"	"109006.36"	"180942.77"
"1"	"A1"	"42"	"189895.8"	"109391.664"	"181780.42"
"1"	"A1"	"43"	"190790.23"	"109604.15"	"182740.67"
"1"	"A1"	"44"	"191162.66"	"109548.664"	"183131.27"
"1"	"A1"	"45"	"191859.9"	"110021.66"	"183762.55"
"2"	"A2"	"1"	"165125.98"	"105955.86"	"29828.646"
"2"	"A2"	"2"	"165011.36"	"105687.28"	"29816.262"
"2"	"A2"	"3"	"164303.27"	"105232.02"	"29845.605"
"2"	"A2"	"4"	"163758.36"	"104814.69"	"29795.201"
"2"	"A2"	"5"	"163637.16"	"104469.84"	"29676.55"
"2"	"A2"	"6"	"163643.84"	"104346.75"	"29659.264"
"2"	"A2"	"7"	"163310.83"	"104315.625"	"29704.307"
"2"	"A2"	"8"	"163271.8"	"104254.945"	"29716.635"
"2"	"A2"	"9"	"163511.83"	"104172.66"	"29789.785"
"2"	"A2"	"10"	"163716.58"	"103987.414"	"29825.467"
"2"	"A2"	"11"	"163890.75"	"103883.305"	"29856.46"
"2"	"A2"	"12"	"163995.97"	"103899.34"	"29878.283"
"2"	"A2"	"13"	"164321.2"	"104029.38"	"29908.97"
"2"	"A2"	"14"	"164430.98"	"104072.26"	"30142.285"
"2"	"A2"	"15"	"165009.06"	"104294.43"	"30215.295"
"2"	"A2"	"16"	"166507.64"	"104767.0"	"30404.941"
"2"	"A2"	"17"	"168764.39"	"105680.49"	"30646.922"
"2"	"A2"	"18"	"170479.3"	"106216.69"	"30788.215"
"2"	"A2"	"19"	"171479.08"	"106317.77"	"30948.555"
"2"	"A2"	"20"	"172796.92"	"106912.555"	"31217.898"
"2"	"A2"	"21"	"173953.89"	"107405.3"	"31252.479"
"2"	"A2"	"22"	"174525.81"	"107626.47"	"31556.105"
"2"	"A2"	"23"	"175534.81"	"107867.914"	"31893.24"
"2"	"A2"	"24"	"177354.8"	"108737.57"	"32334.727"
"2"	"A2"	"25"	"179081.77"	"109228.125"	"32787.336"
"2"	"A2"	"26"	"179796.17"	"109296.79"	"33498.594"
"2"	"A2"	"27"	"180475.98"	"109639.95"	"34866.457"
"2"	"A2"	"28"	"181514.08"	"109941.01"	"37358.863"
"2"	"A2"	"29"	"181959.6"	"109965.23"	"41543.99"
"2"	"A2"	"30"	"182173.72"	"109980.51"	"48525.176"
"2"	"A2"	"31"	"182956.05"	"110186.79"	"59357.28"
"2"	"A2"	"32"	"183347.4"	"110243.04"	"74231.55"
"2"	"A2"	"33"	"183705.48"	"110328.414"	"92748.07"
"2"	"A2"	"34"	"184271.05"	"110376.72"	"114152.38"
"2"	"A2"	"35"	"185146.4"	"110512.45"	"136610.45"
"2"	"A2"	"36"	"185650.95"	"110976.266"	"156996.64"
"2"	"A2"	"37"	"186319.64"	"111108.31"	"170226.48"
"2"	"A2"	"38"	"186815.58"	"111239.234"	"176488.75"
"2"	"A2"	"39"	"187461.55"	"111178.98"	"179269.05"
"2"	"A2"	"40"	"188252.34"	"111591.39"	"180756.56"
"2"	"A2"	"41"	"188620.17"	"111672.12"	"181849.14"
"2"	"A2"	"42"	"188750.9"	"111669.625"	"182557.92"
"2"	"A2"	"43"	"189784.66"	"111810.8"	"183382.86"
"2"	"A2"	"44"	"190237.89"	"112009.58"	"184050.47"
"2"	"A2"	"45"	"190711.14"	"112062.99"	"184748.53"
"3"	"A3"	"1"	"174828.64"	"110850.18"	"33633.406"
"3"	"A3"	"2"	"174441.94"	"110628.14"	"33541.977"
"3"	"A3"	"3"	"173526.5"	"109916.19"	"33381.29"
"3"	"A3"	"4"	"172962.55"	"109279.65"	"33313.523"
"3"	"A3"	"5"	"172600.69"	"108950.62"	"33297.27"
"3"	"A3"	"6"	"172064.02"	"108526.2"	"33239.33"
"3"	"A3"	"7"	"171813.31"	"108264.81"	"33109.91"
"3"	"A3"	"8"	"171591.97"	"108090.945"	"33086.273"
"3"	"A3"	"9"	"171161.83"	"107861.15"	"33116.66"
"3"	"A3"	"10"	"170991.23"	"107681.63"	"33099.574"
"3"	"A3"	"11"	"170844.45"	"107465.78"	"33105.223"
"3"	"A3"	"12"	"170833.22"	"107158.86"	"33218.438"
"3"	"A3"	"13"	"170927.42"	"107044.18"	"33374.543"
"3"	"A3"	"14"	"170938.47"	"106959.836"	"33378.254"
"3"	"A3"	"15"	"170980.47"	"106951.25"	"33431.35"
"3"	"A3"	"16"	"170977.42"	"107000.26"	"33519.625"
"3"	"A3"	"17"	"171118.27"	"107012.78"	"33617.516"
"3"	"A3"	"18"	"171521.97"	"107049.414"	"33806.973"
"3"	"A3"	"19"	"171791.62"	"107045.76"	"34112.867"
"3"	"A3"	"20"	"171933.34"	"107086.48"	"34695.484"
"3"	"A3"	"21"	"171989.14"	"107137.9"	"35764.96"
"3"	"A3"	"22"	"172448.23"	"107255.086"	"37613.12"
"3"	"A3"	"23"	"172744.14"	"107350.7"	"41088.15"
"3"	"A3"	"24"	"173140.62"	"107456.89"	"46780.93"
"3"	"A3"	"25"	"173658.58"	"107521.23"	"55814.8"
"3"	"A3"	"26"	"173875.31"	"107541.836"	"68710.79"
"3"	"A3"	"27"	"174179.58"	"107854.9"	"84987.914"
"3"	"A3"	"28"	"175178.83"	"108262.2"	"103516.85"
"3"	"A3"	"29"	"176972.6"	"109181.03"	"123385.414"
"3"	"A3"	"30"	"181250.05"	"111031.57"	"144039.58"
"3"	"A3"	"31"	"183128.67"	"111700.78"	"161614.47"
"3"	"A3"	"32"	"184715.66"	"112239.76"	"176937.62"
"3"	"A3"	"33"	"185996.97"	"112672.73"	"188896.02"
"3"	"A3"	"34"	"187388.42"	"113111.41"	"196384.6"
"3"	"A3"	"35"	"189068.78"	"113799.88"	"200642.12"
"3"	"A3"	"36"	"190244.17"	"114232.04"	"202844.97"
"3"	"A3"	"37"	"191284.2"	"114514.37"	"204186.69"
"3"	"A3"	"38"	"192678.9"	"114861.32"	"205778.66"
"3"	"A3"	"39"	"193971.3"	"115118.69"	"206993.64"
"3"	"A3"	"40"	"195140.81"	"115602.75"	"208158.42"
"3"	"A3"	"41"	"196064.12"	"115860.766"	"208888.27"
"3"	"A3"	"42"	"197087.22"	"116244.62"	"209744.58"
"3"	"A3"	"43"	"197910.97"	"116676.516"	"210536.5"
"3"	"A3"	"44"	"198482.12"	"116742.4"	"210840.25"
"3"	"A3"	"45"	"199407.98"	"116946.02"	"211644.45"
"4"	"A4"	"1"	"164760.06"	"107085.83"	"32412.426"
"4"	"A4"	"2"	"164615.81"	"106912.54"	"32392.465"
"4"	"A4"	"3"	"163974.11"	"106577.82"	"32374.629"
"4"	"A4"	"4"	"163238.38"	"106217.02"	"32258.354"
"4"	"A4"	"5"	"162650.75"	"105902.33"	"32170.273"
"4"	"A4"	"6"	"162551.75"	"105678.695"	"32141.283"
"4"	"A4"	"7"	"162629.4"	"105584.34"	"32127.63"
"4"	"A4"	"8"	"162662.88"	"105499.484"	"32127.2"
"4"	"A4"	"9"	"162629.22"	"105297.1"	"32156.81"
"4"	"A4"	"10"	"162610.36"	"105275.734"	"32216.375"
"4"	"A4"	"11"	"162777.42"	"105407.89"	"32292.344"
"4"	"A4"	"12"	"163304.05"	"105479.53"	"32406.193"
"4"	"A4"	"13"	"163459.11"	"105463.73"	"32435.209"
"4"	"A4"	"14"	"163709.69"	"105503.46"	"32465.729"
"4"	"A4"	"15"	"164028.55"	"105557.33"	"32608.746"
"4"	"A4"	"16"	"164716.2"	"105805.6"	"32700.059"
"4"	"A4"	"17"	"167851.97"	"106929.06"	"33204.297"
"4"	"A4"	"18"	"170803.98"	"107898.734"	"33654.875"
"4"	"A4"	"19"	"172189.98"	"108576.9"	"33879.27"
"4"	"A4"	"20"	"173530.16"	"109219.89"	"34192.035"
"4"	"A4"	"21"	"175410.77"	"109990.14"	"34866.977"
"4"	"A4"	"22"	"177592.67"	"110634.7"	"35505.867"
"4"	"A4"	"23"	"179128.36"	"111103.06"	"36662.965"
"4"	"A4"	"24"	"179914.45"	"111314.62"	"38511.523"
"4"	"A4"	"25"	"181482.86"	"111794.016"	"41877.48"
"4"	"A4"	"26"	"182756.55"	"112244.12"	"47701.273"
"4"	"A4"	"27"	"184008.73"	"112816.375"	"56859.0"
"4"	"A4"	"28"	"185863.52"	"113410.32"	"70592.3"
"4"	"A4"	"29"	"187022.58"	"113923.56"	"88422.34"
"4"	"A4"	"30"	"187762.47"	"114401.44"	"109217.05"
"4"	"A4"	"31"	"189362.88"	"114801.15"	"132304.98"
"4"	"A4"	"32"	"190370.8"	"115057.37"	"155481.95"
"4"	"A4"	"33"	"191245.16"	"115468.79"	"177124.0"
"4"	"A4"	"34"	"191981.81"	"115591.06"	"191824.4"
"4"	"A4"	"35"	"192999.3"	"115923.086"	"198942.4"
"4"	"A4"	"36"	"193166.44"	"116239.12"	"202280.78"
"4"	"A4"	"37"	"194568.44"	"116455.84"	"204406.39"
"4"	"A4"	"38"	"195784.11"	"116782.58"	"205811.4"
"4"	"A4"	"39"	"196979.03"	"116825.95"	"206602.77"
"4"	"A4"	"40"	"197693.81"	"117111.36"	"207650.73"
"4"	"A4"	"41"	"198474.16"	"117310.77"	"208388.1"
"4"	"A4"	"42"	"198712.03"	"117590.43"	"208987.95"
"4"	"A4"	"43"	"199314.4"	"117926.65"	"209596.75"
"4"	"A4"	"44"	"199524.06"	"118107.17"	"210103.7"
"4"	"A4"	"45"	"199997.1"	"118016.06"	"210605.44"
"5"	"A5"	"1"	"176756.25"	"112478.57"	"35381.63"
"5"	"A5"	"2"	"176223.11"	"112201.52"	"35369.11"
"5"	"A5"	"3"	"175132.14"	"111755.58"	"35334.66"
"5"	"A5"	"4"	"174279.94"	"111308.83"	"35261.125"
"5"	"A5"	"5"	"173561.8"	"110803.22"	"35185.504"
"5"	"A5"	"6"	"173310.92"	"110336.26"	"35150.504"
"5"	"A5"	"7"	"173147.52"	"110037.24"	"35153.91"
"5"	"A5"	"8"	"172970.12"	"109862.84"	"35005.016"
"5"	"A5"	"9"	"172612.61"	"109640.84"	"35012.02"
"5"	"A5"	"10"	"172476.94"	"109396.664"	"35188.312"
"5"	"A5"	"11"	"172458.16"	"109170.516"	"35136.742"
"5"	"A5"	"12"	"172464.5"	"109088.94"	"35112.89"
"5"	"A5"	"13"	"172518.6"	"109067.234"	"35238.434"
"5"	"A5"	"14"	"172587.56"	"108970.29"	"35341.582"
"5"	"A5"	"15"	"172616.38"	"108969.01"	"35373.938"
"5"	"A5"	"16"	"172763.86"	"109089.23"	"35428.562"
"5"	"A5"	"17"	"172812.19"	"108903.94"	"35488.39"
"5"	"A5"	"18"	"173014.5"	"108891.4"	"35585.07"
"5"	"A5"	"19"	"173175.67"	"109049.35"	"35794.254"
"5"	"A5"	"20"	"173613.2"	"108964.195"	"36019.867"
"5"	"A5"	"21"	"173662.31"	"108956.664"	"36348.27"
"5"	"A5"	"22"	"173793.39"	"109123.695"	"36887.297"
"5"	"A5"	"23"	"174077.44"	"109117.555"	"37980.832"
"5"	"A5"	"24"	"174745.62"	"109289.11"	"40019.004"
"5"	"A5"	"25"	"177084.48"	"110449.79"	"43711.246"
"5"	"A5"	"26"	"180968.45"	"111884.086"	"50202.33"
"5"	"A5"	"27"	"182927.22"	"112570.016"	"60097.16"
"5"	"A5"	"28"	"183962.48"	"112911.6"	"74022.2"
"5"	"A5"	"29"	"185797.39"	"113566.04"	"91883.91"
"5"	"A5"	"30"	"186560.06"	"113721.53"	"112129.39"
"5"	"A5"	"31"	"188238.31"	"114430.234"	"133658.89"
"5"	"A5"	"32"	"188968.5"	"114866.336"	"154983.5"
"5"	"A5"	"33"	"189890.34"	"114972.6"	"175706.4"
"5"	"A5"	"34"	"191032.8"	"115331.48"	"194497.31"
"5"	"A5"	"35"	"192277.75"	"116004.04"	"207546.77"
"5"	"A5"	"36"	"193342.97"	"116252.82"	"214439.56"
"5"	"A5"	"37"	"194320.92"	"116540.766"	"218244.14"
"5"	"A5"	"38"	"195146.17"	"116654.65"	"221241.47"
"5"	"A5"	"39"	"196535.92"	"116937.96"	"223671.6"
"5"	"A5"	"40"	"197475.73"	"117438.61"	"225897.05"
"5"	"A5"	"41"	"198481.3"	"117654.125"	"227787.45"
"5"	"A5"	"42"	"199149.42"	"117676.22"	"230598.88"
"5"	"A5"	"43"	"199983.27"	"118017.22"	"234542.03"
"5"	"A5"	"44"	"200659.36"	"118330.01"	"238431.44"
"5"	"A5"	"45"	"201897.05"	"118419.32"	"241914.33"
"6"	"A6"	"1"	"162189.62"	"104674.484"	"32832.113"
"6"	"A6"	"2"	"161894.39"	"104528.49"	"32786.508"
"6"	"A6"	"3"	"161191.27"	"104118.734"	"32728.246"
"6"	"A6"	"4"	"160766.48"	"103734.805"	"32696.834"
"6"	"A6"	"5"	"160491.39"	"103317.11"	"32699.227"
"6"	"A6"	"6"	"160240.52"	"103002.55"	"32695.246"
"6"	"A6"	"7"	"160108.34"	"102833.49"	"32677.666"
"6"	"A6"	"8"	"159933.89"	"102786.06"	"32677.553"
"6"	"A6"	"9"	"159850.3"	"102618.18"	"32613.463"
"6"	"A6"	"10"	"159724.0"	"102649.07"	"32603.701"
"6"	"A6"	"11"	"159923.9"	"102573.31"	"32654.941"
"6"	"A6"	"12"	"159884.08"	"102346.92"	"32710.887"
"6"	"A6"	"13"	"160117.48"	"102154.21"	"32727.248"
"6"	"A6"	"14"	"160310.73"	"102244.56"	"32762.11"
"6"	"A6"	"15"	"160368.0"	"102172.1"	"32816.06"
"6"	"A6"	"16"	"160404.38"	"101971.1"	"32942.906"
"6"	"A6"	"17"	"159696.38"	"101604.125"	"33044.473"
"6"	"A6"	"18"	"157386.84"	"100793.39"	"33040.656"
"6"	"A6"	"19"	"155240.3"	"99769.64"	"33043.066"
"6"	"A6"	"20"	"152916.4"	"98676.36"	"33325.22"
"6"	"A6"	"21"	"152245.88"	"98299.64"	"33911.73"
"6"	"A6"	"22"	"151821.8"	"98085.25"	"35568.793"
"6"	"A6"	"23"	"151708.17"	"97828.42"	"38751.668"
"6"	"A6"	"24"	"151744.31"	"97626.945"	"44401.234"
"6"	"A6"	"25"	"151713.48"	"97493.98"	"53440.8"
"6"	"A6"	"26"	"151617.27"	"97318.664"	"66294.36"
