# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07232020_05_06_07_08.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 05:56:38 PM CDT
# Date Created: 2020-07-23 11:31:52 PM CDT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 1969-12-31 06:00:00 PM CST
# Plate Run End Date/Time: 1969-12-31 06:00:00 PM CST
# Run Duration: 0 minutes 0 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"171830.52"	"105198.02"	"30317.285"
"1"	"A1"	"2"	"171559.56"	"105054.06"	"30314.65"
"1"	"A1"	"3"	"170718.86"	"104660.81"	"30351.129"
"1"	"A1"	"4"	"170372.23"	"104043.66"	"30367.285"
"1"	"A1"	"5"	"169997.06"	"103835.88"	"30458.54"
"1"	"A1"	"6"	"169795.55"	"103763.31"	"30422.354"
"1"	"A1"	"7"	"169522.53"	"103630.67"	"30305.373"
"1"	"A1"	"8"	"169484.38"	"103509.64"	"30303.625"
"1"	"A1"	"9"	"169621.23"	"103306.98"	"30406.88"
"1"	"A1"	"10"	"169768.94"	"103274.92"	"30427.81"
"1"	"A1"	"11"	"170036.86"	"103340.43"	"30517.543"
"1"	"A1"	"12"	"171306.34"	"103649.06"	"30670.723"
"1"	"A1"	"13"	"175283.4"	"105240.42"	"31284.895"
"1"	"A1"	"14"	"179479.05"	"106943.54"	"31991.207"
"1"	"A1"	"15"	"181677.89"	"107639.95"	"32269.49"
"1"	"A1"	"16"	"183358.2"	"108149.82"	"32694.312"
"1"	"A1"	"17"	"184136.44"	"108317.42"	"32713.518"
"1"	"A1"	"18"	"185171.55"	"108655.94"	"32874.02"
"1"	"A1"	"19"	"186756.94"	"109182.56"	"33129.63"
"1"	"A1"	"20"	"188037.9"	"109451.79"	"33461.41"
"1"	"A1"	"21"	"189074.77"	"109797.52"	"33777.29"
"1"	"A1"	"22"	"190452.22"	"110221.305"	"33881.73"
"1"	"A1"	"23"	"191771.45"	"110731.03"	"34085.594"
"1"	"A1"	"24"	"192875.97"	"110842.7"	"34337.36"
"1"	"A1"	"25"	"193936.03"	"111244.055"	"34726.16"
"1"	"A1"	"26"	"194576.92"	"111334.695"	"35350.78"
"1"	"A1"	"27"	"195535.56"	"111790.984"	"36582.45"
"1"	"A1"	"28"	"196385.28"	"112086.516"	"38724.67"
"1"	"A1"	"29"	"197445.5"	"112182.64"	"42360.637"
"1"	"A1"	"30"	"198020.61"	"112422.11"	"48466.418"
"1"	"A1"	"31"	"198751.55"	"113029.15"	"58525.78"
"1"	"A1"	"32"	"198982.36"	"113126.16"	"73409.43"
"1"	"A1"	"33"	"200031.97"	"113150.89"	"93166.74"
"1"	"A1"	"34"	"200941.67"	"113625.914"	"117457.72"
"1"	"A1"	"35"	"201885.78"	"114005.27"	"144084.95"
"1"	"A1"	"36"	"202654.3"	"114127.766"	"168606.42"
"1"	"A1"	"37"	"202914.5"	"114102.29"	"185461.6"
"1"	"A1"	"38"	"203547.97"	"114277.71"	"195049.2"
"1"	"A1"	"39"	"204247.48"	"114306.97"	"200267.66"
"1"	"A1"	"40"	"205160.22"	"114570.04"	"203071.28"
"1"	"A1"	"41"	"205693.47"	"114872.63"	"205058.84"
"1"	"A1"	"42"	"206507.3"	"114961.38"	"206205.14"
"1"	"A1"	"43"	"207331.86"	"115241.6"	"206866.23"
"1"	"A1"	"44"	"208059.12"	"115636.98"	"207766.78"
"1"	"A1"	"45"	"208688.77"	"115500.734"	"208108.78"
"2"	"A2"	"1"	"171180.98"	"107842.3"	"32119.592"
"2"	"A2"	"2"	"170963.34"	"107620.23"	"32062.76"
"2"	"A2"	"3"	"170485.94"	"107093.33"	"32011.03"
"2"	"A2"	"4"	"169991.6"	"106706.305"	"32017.082"
"2"	"A2"	"5"	"169753.89"	"106504.59"	"31974.326"
"2"	"A2"	"6"	"169698.34"	"106226.21"	"31890.525"
"2"	"A2"	"7"	"169687.1"	"106078.15"	"31885.37"
"2"	"A2"	"8"	"169623.7"	"105893.77"	"31965.787"
"2"	"A2"	"9"	"170140.73"	"106086.97"	"32119.316"
"2"	"A2"	"10"	"173057.64"	"107281.445"	"32509.791"
"2"	"A2"	"11"	"176985.25"	"108618.92"	"32950.85"
"2"	"A2"	"12"	"179516.33"	"109614.805"	"33377.566"
"2"	"A2"	"13"	"181437.36"	"110189.516"	"33544.7"
