# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07252020-4-6-8.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 05:59:33 PM CDT
# Date Created: 2020-07-26 06:59:52 PM CDT
# Barcode: H390KA0S
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-26 02:02:07 PM CDT
# Plate Run End Date/Time: 2020-07-26 03:53:06 PM CDT
# Run Duration: 110 minutes 58 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"173688.27"	"106422.414"	"29761.04"
"1"	"A1"	"2"	"173521.05"	"106207.21"	"29766.627"
"1"	"A1"	"3"	"172851.84"	"105752.85"	"29895.605"
"1"	"A1"	"4"	"172085.02"	"105436.47"	"30128.223"
"1"	"A1"	"5"	"171511.77"	"105219.32"	"30133.13"
"1"	"A1"	"6"	"171319.28"	"104845.4"	"30118.963"
"1"	"A1"	"7"	"171269.5"	"104233.39"	"30084.455"
"1"	"A1"	"8"	"171254.7"	"103978.27"	"29981.297"
"1"	"A1"	"9"	"170906.19"	"103905.875"	"29956.879"
"1"	"A1"	"10"	"170825.67"	"103896.26"	"30070.117"
"1"	"A1"	"11"	"170929.19"	"103753.89"	"30091.54"
"1"	"A1"	"12"	"170608.39"	"103551.44"	"30248.916"
"1"	"A1"	"13"	"170584.52"	"103543.43"	"30424.752"
"1"	"A1"	"14"	"170938.2"	"103688.01"	"30541.037"
"1"	"A1"	"15"	"171269.44"	"103685.664"	"30522.582"
"1"	"A1"	"16"	"171300.97"	"103650.72"	"30663.537"
"1"	"A1"	"17"	"171517.33"	"103650.984"	"30897.367"
"1"	"A1"	"18"	"171909.14"	"103779.38"	"31063.39"
"1"	"A1"	"19"	"172006.64"	"103812.35"	"31346.297"
"1"	"A1"	"20"	"172255.28"	"103795.375"	"31850.979"
"1"	"A1"	"21"	"172446.78"	"103867.12"	"32986.766"
"1"	"A1"	"22"	"172991.64"	"103876.69"	"34771.64"
