# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07232020-1-2-3-4.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 05:57:18 PM CDT
# Date Created: 2020-07-23 07:17:56 PM CDT
# Barcode: H390KA2K
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-23 02:21:57 PM CDT
# Plate Run End Date/Time: 2020-07-23 04:13:03 PM CDT
# Run Duration: 111 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"162705.06"	"101454.234"	"28528.943"
"1"	"A1"	"2"	"162595.62"	"101384.12"	"28511.307"
"1"	"A1"	"3"	"162355.34"	"101030.7"	"28450.824"
"1"	"A1"	"4"	"161980.05"	"100714.01"	"28466.322"
"1"	"A1"	"5"	"161816.27"	"100606.83"	"28579.074"
"1"	"A1"	"6"	"161628.8"	"100541.97"	"28549.082"
"1"	"A1"	"7"	"160863.12"	"100291.22"	"28554.633"
"1"	"A1"	"8"	"161657.34"	"100607.49"	"28844.422"
"1"	"A1"	"9"	"166451.97"	"102445.66"	"29436.113"
"1"	"A1"	"10"	"171338.11"	"104231.39"	"29852.55"
"1"	"A1"	"11"	"174989.16"	"105444.81"	"30400.572"
"1"	"A1"	"12"	"176749.14"	"106093.01"	"30826.066"
"1"	"A1"	"13"	"178324.81"	"106640.68"	"31015.092"
"1"	"A1"	"14"	"178910.22"	"106934.42"	"31167.355"
"1"	"A1"	"15"	"179660.02"	"107083.0"	"31314.623"
"1"	"A1"	"16"	"180018.17"	"107003.836"	"31656.203"
"1"	"A1"	"17"	"181030.53"	"107348.68"	"31649.121"
"1"	"A1"	"18"	"181750.08"	"107514.26"	"31750.482"
"1"	"A1"	"19"	"182290.64"	"107867.64"	"31971.387"
"1"	"A1"	"20"	"183813.97"	"108524.21"	"32118.85"
"1"	"A1"	"21"	"184854.12"	"108893.4"	"32383.15"
"1"	"A1"	"22"	"186369.89"	"109233.29"	"32676.207"
"1"	"A1"	"23"	"187418.06"	"109502.125"	"32834.254"
"1"	"A1"	"24"	"188092.11"	"109706.46"	"33277.105"
"1"	"A1"	"25"	"188337.02"	"109861.92"	"33857.902"
"1"	"A1"	"26"	"188902.77"	"110010.65"	"34694.152"
"1"	"A1"	"27"	"189324.39"	"109900.625"	"36257.62"
"1"	"A1"	"28"	"189578.12"	"109910.18"	"39216.867"
