# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07292020-8-10-11-12.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-05 10:16:11 PM CDT
# Date Created: 2020-07-30 12:30:44 PM CDT
# Barcode: H390K9LT
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-30 07:32:41 AM CDT
# Plate Run End Date/Time: 2020-07-30 09:23:54 AM CDT
# Run Duration: 111 minutes 13 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"167309.0"	"102257.78"	"28133.594"
"1"	"A1"	"2"	"167198.0"	"102094.94"	"27978.684"
"1"	"A1"	"3"	"166697.28"	"101861.445"	"27931.988"
"1"	"A1"	"4"	"166129.88"	"101542.875"	"28045.473"
"1"	"A1"	"5"	"165704.88"	"101197.44"	"28021.127"
"1"	"A1"	"6"	"165562.97"	"100714.02"	"28009.541"
"1"	"A1"	"7"	"165440.34"	"100610.0"	"28126.049"
"1"	"A1"	"8"	"165479.66"	"100636.42"	"28211.258"
"1"	"A1"	"9"	"165749.67"	"100646.95"	"28098.646"
"1"	"A1"	"10"	"166634.6"	"101003.38"	"28151.184"
"1"	"A1"	"11"	"171232.66"	"102733.305"	"28836.406"
"1"	"A1"	"12"	"176978.0"	"105098.055"	"29890.938"
"1"	"A1"	"13"	"179863.44"	"105991.14"	"30200.809"
"1"	"A1"	"14"	"181311.33"	"106499.14"	"30336.635"
"1"	"A1"	"15"	"182413.62"	"106978.06"	"30489.096"
"1"	"A1"	"16"	"184320.2"	"107604.39"	"30761.715"
"1"	"A1"	"17"	"186120.34"	"108363.14"	"30971.729"
"1"	"A1"	"18"	"187637.95"	"108848.52"	"31204.56"
"1"	"A1"	"19"	"188789.97"	"109126.445"	"31369.031"
"1"	"A1"	"20"	"189609.9"	"109370.35"	"31527.057"
"1"	"A1"	"21"	"191652.75"	"110149.266"	"31825.87"
"1"	"A1"	"22"	"193197.02"	"110693.97"	"31869.008"
"1"	"A1"	"23"	"194325.47"	"111142.26"	"32138.91"
"1"	"A1"	"24"	"195439.31"	"111690.46"	"32561.703"
"1"	"A1"	"25"	"196837.9"	"111965.76"	"33005.137"
"1"	"A1"	"26"	"197693.06"	"111994.42"	"33651.83"
"1"	"A1"	"27"	"198947.94"	"112491.99"	"34633.418"
"1"	"A1"	"28"	"199932.22"	"113024.484"	"36505.62"
"1"	"A1"	"29"	"200104.69"	"112932.77"	"39993.188"
"1"	"A1"	"30"	"201049.75"	"113213.484"	"46112.727"
"1"	"A1"	"31"	"202228.45"	"113674.11"	"55437.395"
"1"	"A1"	"32"	"203175.86"	"114040.94"	"69168.71"
"1"	"A1"	"33"	"204623.97"	"114632.836"	"86777.0"
"1"	"A1"	"34"	"205448.84"	"114881.7"	"107088.57"
"1"	"A1"	"35"	"206161.72"	"115083.836"	"128474.79"
"1"	"A1"	"36"	"207019.95"	"115335.055"	"149917.88"
"1"	"A1"	"37"	"207595.67"	"115539.59"	"168352.72"
"1"	"A1"	"38"	"208492.23"	"115747.86"	"181377.11"
"1"	"A1"	"39"	"209448.31"	"116264.734"	"188036.72"
"1"	"A1"	"40"	"210201.81"	"116518.13"	"191053.5"
"1"	"A1"	"41"	"210945.58"	"116770.03"	"192981.17"
"1"	"A1"	"42"	"211697.9"	"116804.414"	"194160.44"
"1"	"A1"	"43"	"212627.4"	"117145.73"	"195182.67"
"1"	"A1"	"44"	"213628.55"	"117073.55"	"196125.02"
"1"	"A1"	"45"	"213827.56"	"117247.95"	"196883.75"
"2"	"A2"	"1"	"172226.4"	"109519.03"	"32256.182"
"2"	"A2"	"2"	"172004.38"	"109314.3"	"32195.28"
"2"	"A2"	"3"	"171065.55"	"108644.59"	"32066.096"
"2"	"A2"	"4"	"170364.75"	"108018.555"	"31996.969"
"2"	"A2"	"5"	"169990.03"	"107610.0"	"31960.69"
