# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_08012020_4-5-6.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 06:38:29 PM CDT
# Date Created: 2020-08-02 06:58:51 PM CDT
# Barcode: H390K9LZ
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-08-02 02:00:25 PM CDT
# Plate Run End Date/Time: 2020-08-02 03:51:28 PM CDT
# Run Duration: 111 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"163240.61"	"104370.25"	"27550.854"
"1"	"A1"	"2"	"162887.12"	"104082.74"	"27452.553"
"1"	"A1"	"3"	"162286.1"	"103794.91"	"27367.373"
"1"	"A1"	"4"	"162018.06"	"103435.37"	"27307.465"
"1"	"A1"	"5"	"161612.47"	"102777.34"	"27292.275"
"1"	"A1"	"6"	"161551.08"	"102629.48"	"27301.865"
"1"	"A1"	"7"	"161695.7"	"102805.984"	"27290.219"
"1"	"A1"	"8"	"161700.53"	"102774.27"	"27323.53"
"1"	"A1"	"9"	"161702.62"	"102709.73"	"27488.477"
"1"	"A1"	"10"	"161897.4"	"102649.9"	"27556.611"
"1"	"A1"	"11"	"162113.19"	"102303.35"	"27577.867"
"1"	"A1"	"12"	"162189.2"	"102219.39"	"27544.951"
"1"	"A1"	"13"	"162231.77"	"102243.29"	"27536.465"
"1"	"A1"	"14"	"163867.11"	"102740.69"	"27665.994"
"1"	"A1"	"15"	"169109.98"	"104819.76"	"28345.838"
"1"	"A1"	"16"	"170827.55"	"105578.1"	"28639.271"
"1"	"A1"	"17"	"172332.34"	"105917.77"	"28856.78"
"1"	"A1"	"18"	"173371.28"	"106078.63"	"29010.652"
"1"	"A1"	"19"	"173856.28"	"106089.43"	"29211.2"
"1"	"A1"	"20"	"174274.16"	"106049.15"	"29431.426"
"1"	"A1"	"21"	"174609.5"	"106235.586"	"29738.822"
"1"	"A1"	"22"	"175548.22"	"106356.586"	"30019.59"
"1"	"A1"	"23"	"176320.83"	"106446.9"	"31047.955"
"1"	"A1"	"24"	"176659.67"	"106587.06"	"32804.9"
"1"	"A1"	"25"	"177174.5"	"106646.41"	"35562.133"
"1"	"A1"	"26"	"177435.06"	"106600.62"	"40696.457"
"1"	"A1"	"27"	"177470.47"	"106451.945"	"48943.582"
"1"	"A1"	"28"	"177852.16"	"106510.23"	"61001.664"
"1"	"A1"	"29"	"179112.27"	"106759.24"	"76587.06"
"1"	"A1"	"30"	"179489.31"	"107149.93"	"94265.24"
"1"	"A1"	"31"	"180018.83"	"107199.17"	"113078.086"
"1"	"A1"	"32"	"180037.72"	"107216.31"	"131228.02"
"1"	"A1"	"33"	"180751.88"	"107197.266"	"147619.19"
"1"	"A1"	"34"	"180721.81"	"107357.266"	"160956.17"
