# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_08042020_04.sds
# Description: SDS v1.4.1
# User Name: 
# Last Modified Date/Time: 2020-08-07 12:17:00 AM CDT
# Date Created: 2020-08-04 09:26:59 PM CDT
# Barcode: 
# Instrument Type: 7500 Fast System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-08-04 07:56:33 PM CDT
# Plate Run End Date/Time: 2020-08-04 09:26:59 PM CDT
# Run Duration: 90 minutes 26 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"1351419.1"	"358994.16"	"112953.74"
"1"	"A1"	"2"	"1276788.2"	"345845.3"	"106891.04"
"1"	"A1"	"3"	"1273634.9"	"345338.3"	"106807.06"
"1"	"A1"	"4"	"1272664.0"	"344484.8"	"106981.234"
"1"	"A1"	"5"	"1270177.8"	"343818.78"	"107226.555"
"1"	"A1"	"6"	"1270809.4"	"343605.53"	"106844.055"
"1"	"A1"	"7"	"1272570.0"	"342780.12"	"107383.22"
"1"	"A1"	"8"	"1280827.9"	"343455.34"	"107523.13"
"1"	"A1"	"9"	"1283596.4"	"344072.6"	"107415.81"
"1"	"A1"	"10"	"1285521.5"	"342746.66"	"108461.484"
"1"	"A1"	"11"	"1293573.8"	"342809.06"	"108424.81"
"1"	"A1"	"12"	"1297611.0"	"342491.1"	"108628.39"
"1"	"A1"	"13"	"1301984.9"	"343361.94"	"109993.65"
"1"	"A1"	"14"	"1307299.5"	"343337.94"	"109395.305"
"1"	"A1"	"15"	"1309768.2"	"343305.44"	"110597.4"
"1"	"A1"	"16"	"1312859.6"	"344048.22"	"110734.4"
"1"	"A1"	"17"	"1315996.5"	"344049.44"	"110341.5"
"1"	"A1"	"18"	"1319465.6"	"344145.56"	"110700.664"
