# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_08022020-1.sds
# Description: SDS v1.4.1
# User Name: 
# Last Modified Date/Time: 2020-08-03 12:27:58 PM CDT
# Date Created: 2020-08-03 12:27:58 PM CDT
# Barcode: 
# Instrument Type: 7500 Fast System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-08-03 10:57:32 AM CDT
# Plate Run End Date/Time: 2020-08-03 12:27:58 PM CDT
# Run Duration: 90 minutes 26 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"2100525.0"	"514276.2"	"146098.3"
"1"	"A1"	"2"	"2094825.8"	"512621.6"	"145973.53"
"1"	"A1"	"3"	"2093393.1"	"511539.12"	"145961.88"
"1"	"A1"	"4"	"2089788.9"	"510223.47"	"146866.97"
"1"	"A1"	"5"	"2086475.5"	"509923.2"	"146409.7"
"1"	"A1"	"6"	"2082628.4"	"509280.72"	"146457.3"
"1"	"A1"	"7"	"2081562.0"	"508464.3"	"146499.02"
"1"	"A1"	"8"	"2079934.5"	"507290.5"	"146923.42"
"1"	"A1"	"9"	"2081610.8"	"507108.56"	"147238.23"
"1"	"A1"	"10"	"2082741.6"	"507418.8"	"147438.81"
"1"	"A1"	"11"	"2081029.8"	"507854.84"	"147377.27"
"1"	"A1"	"12"	"2084889.4"	"507287.88"	"148043.28"
"1"	"A1"	"13"	"2088431.2"	"506927.3"	"148838.12"
"1"	"A1"	"14"	"2087206.5"	"506494.9"	"148532.5"
"1"	"A1"	"15"	"2093019.1"	"506703.22"	"149267.72"
"1"	"A1"	"16"	"2089664.4"	"506599.6"	"149440.39"
"1"	"A1"	"17"	"2091094.8"	"505940.06"	"149615.86"
"1"	"A1"	"18"	"2093238.2"	"507091.25"	"149802.38"
"1"	"A1"	"19"	"2085819.0"	"504899.03"	"150337.25"
"1"	"A1"	"20"	"2086368.1"	"505259.62"	"150993.16"
"1"	"A1"	"21"	"2132263.0"	"507690.6"	"152403.03"
"1"	"A1"	"22"	"2132388.2"	"507763.9"	"152678.0"
"1"	"A1"	"23"	"2143481.5"	"508732.53"	"153517.98"
"1"	"A1"	"24"	"2142818.2"	"507784.9"	"154543.08"
"1"	"A1"	"25"	"2149625.8"	"508938.16"	"156048.56"
"1"	"A1"	"26"	"2151123.2"	"507586.38"	"157585.5"
"1"	"A1"	"27"	"2160921.8"	"508228.88"	"161623.52"
"1"	"A1"	"28"	"2161686.2"	"508089.2"	"167498.42"
"1"	"A1"	"29"	"2172829.0"	"508099.6"	"178784.22"
"1"	"A1"	"30"	"2172913.8"	"508406.78"	"200524.48"
"1"	"A1"	"31"	"2178327.0"	"508579.3"	"234638.08"
"1"	"A1"	"32"	"2175601.5"	"508316.53"	"286422.66"
"1"	"A1"	"33"	"2185959.8"	"509273.8"	"360560.9"
"1"	"A1"	"34"	"2184225.2"	"509054.03"	"455449.6"
"1"	"A1"	"35"	"2200489.0"	"509492.34"	"572607.8"
"1"	"A1"	"36"	"2208450.2"	"509945.38"	"685863.56"
"1"	"A1"	"37"	"2209972.5"	"510897.66"	"764348.56"
"1"	"A1"	"38"	"2211003.8"	"510183.56"	"811519.2"
"1"	"A1"	"39"	"2218106.0"	"511098.62"	"836919.7"
"1"	"A1"	"40"	"2223010.0"	"511264.75"	"851470.94"
"1"	"A1"	"41"	"2227155.8"	"510524.94"	"862621.7"
"1"	"A1"	"42"	"2232367.5"	"510488.47"	"868449.0"
"1"	"A1"	"43"	"2235888.5"	"511998.4"	"871498.8"
