# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_07292020-7.eds
# Description: 
# User Name: 
# Last Modified Date/Time: 2020-08-06 06:31:22 PM CDT
# Date Created: 2020-07-29 07:55:48 PM CDT
# Barcode: CF06G5T9
# Instrument Type: QuantStudio™ Dx System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 287880047
# Instrument Serial Number: 287880047
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-29 07:00:03 PM CDT
# Plate Run End Date/Time: 2020-07-29 08:48:54 PM CDT
# Run Duration: 108 minutes 50 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"2769720.8"	"1572100.1"	"486412.34"
"1"	"A1"	"2"	"2770047.5"	"1571989.8"	"486452.06"
"1"	"A1"	"3"	"2774761.8"	"1572709.8"	"486915.94"
"1"	"A1"	"4"	"2776268.0"	"1568507.4"	"487124.53"
"1"	"A1"	"5"	"2773492.2"	"1565203.9"	"487066.7"
"1"	"A1"	"6"	"2769396.2"	"1562478.6"	"486971.72"
"1"	"A1"	"7"	"2765936.0"	"1561135.5"	"487196.88"
"1"	"A1"	"8"	"2763673.5"	"1559035.9"	"488208.97"
"1"	"A1"	"9"	"2763608.0"	"1555507.8"	"487699.72"
"1"	"A1"	"10"	"2765367.5"	"1553943.6"	"487734.22"
"1"	"A1"	"11"	"2766966.8"	"1552097.5"	"489087.6"
"1"	"A1"	"12"	"2767017.0"	"1550182.5"	"489729.0"
"1"	"A1"	"13"	"2766928.8"	"1549701.6"	"489559.2"
"1"	"A1"	"14"	"2767730.5"	"1550698.4"	"489809.66"
"1"	"A1"	"15"	"2769797.8"	"1550641.8"	"491613.56"
"1"	"A1"	"16"	"2772713.5"	"1550714.6"	"492053.56"
"1"	"A1"	"17"	"2773728.5"	"1550297.6"	"492175.9"
"1"	"A1"	"18"	"2774274.2"	"1549831.2"	"493430.53"
"1"	"A1"	"19"	"2775886.2"	"1549429.8"	"494292.94"
"1"	"A1"	"20"	"2783078.5"	"1549534.5"	"495772.47"
"1"	"A1"	"21"	"2785411.2"	"1549114.5"	"496456.47"
"1"	"A1"	"22"	"2786297.0"	"1547259.0"	"498540.2"
"1"	"A1"	"23"	"2790594.0"	"1541239.9"	"498346.84"
"1"	"A1"	"24"	"2791824.2"	"1538183.0"	"498560.66"
"1"	"A1"	"25"	"2793907.5"	"1534821.2"	"502002.44"
