# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_COV2_07302020_06.sds
# Description: SDS v1.4.1
# User Name: 
# Last Modified Date/Time: 2020-07-30 11:20:31 PM CDT
# Date Created: 2020-07-30 11:20:31 PM CDT
# Barcode: 
# Instrument Type: 7500 Fast System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 
# Instrument Serial Number: null
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-30 09:50:06 PM CDT
# Plate Run End Date/Time: 2020-07-30 11:20:31 PM CDT
# Run Duration: 90 minutes 25 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"2185189.2"	"545792.2"	"152516.88"
"1"	"A1"	"2"	"2067648.5"	"523186.5"	"144919.98"
"1"	"A1"	"3"	"2048195.6"	"520272.3"	"143449.55"
"1"	"A1"	"4"	"2042261.8"	"518260.9"	"143500.64"
"1"	"A1"	"5"	"2041645.5"	"517450.47"	"143729.33"
"1"	"A1"	"6"	"2041511.0"	"517342.66"	"143829.47"
"1"	"A1"	"7"	"2038571.9"	"516996.84"	"143475.23"
"1"	"A1"	"8"	"2052573.5"	"518263.0"	"144170.84"
"1"	"A1"	"9"	"2069404.6"	"517097.62"	"144456.8"
"1"	"A1"	"10"	"2079713.8"	"519190.47"	"145288.6"
"1"	"A1"	"11"	"2077962.8"	"518481.12"	"145857.69"
"1"	"A1"	"12"	"2081997.4"	"518667.75"	"145433.34"
"1"	"A1"	"13"	"2091370.6"	"518465.94"	"146232.83"
"1"	"A1"	"14"	"2093308.2"	"518302.8"	"146255.69"
"1"	"A1"	"15"	"2104141.5"	"519311.34"	"146937.5"
"1"	"A1"	"16"	"2103079.8"	"518495.9"	"146768.56"
"1"	"A1"	"17"	"2110339.2"	"519765.34"	"147878.77"
"1"	"A1"	"18"	"2117626.2"	"520376.1"	"148403.9"
"1"	"A1"	"19"	"2119007.2"	"520167.2"	"149063.75"
"1"	"A1"	"20"	"2126430.0"	"519519.2"	"149336.5"
"1"	"A1"	"21"	"2127538.0"	"519486.72"	"150447.44"
"1"	"A1"	"22"	"2133773.0"	"520393.53"	"153321.28"
"1"	"A1"	"23"	"2134551.5"	"520584.38"	"157003.8"
"1"	"A1"	"24"	"2134573.2"	"520585.9"	"165485.81"
