# Plate File Name: C:\Users\srlgam\Desktop\Projects\MPLX-sds\MPLEX_COV2_07302020_11_13_14.eds
# Description: 
# User Name: AH
# Last Modified Date/Time: 2020-08-06 07:30:43 PM CDT
# Date Created: 2020-07-31 05:03:58 PM CDT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860742
# Instrument Serial Number: 278860742
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-31 12:05:33 PM CDT
# Plate Run End Date/Time: 2020-07-31 01:56:17 PM CDT
# Run Duration: 110 minutes 43 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 3 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: ROX
# Quantification Cycle Method: CT
"Well"	"Well Position"	"Cycle Number"	"FAM"	"ROX"	"CY5"
"1"	"A1"	"1"	"166864.03"	"105506.66"	"27912.92"
"1"	"A1"	"2"	"166683.55"	"105322.84"	"27868.709"
"1"	"A1"	"3"	"166010.36"	"105072.07"	"27794.348"
"1"	"A1"	"4"	"165288.58"	"104765.21"	"27723.982"
"1"	"A1"	"5"	"165066.66"	"104365.43"	"27545.732"
"1"	"A1"	"6"	"164950.53"	"104135.64"	"27447.55"
"1"	"A1"	"7"	"164706.1"	"103825.914"	"27472.514"
"1"	"A1"	"8"	"164598.48"	"103554.22"	"27646.76"
"1"	"A1"	"9"	"164505.16"	"103475.66"	"27718.648"
"1"	"A1"	"10"	"164535.23"	"103469.17"	"27787.467"
"1"	"A1"	"11"	"164753.05"	"103212.07"	"27902.334"
"1"	"A1"	"12"	"164864.58"	"103152.24"	"27965.193"
"1"	"A1"	"13"	"165246.42"	"103266.11"	"28053.352"
"1"	"A1"	"14"	"166209.34"	"103679.62"	"28071.908"
"1"	"A1"	"15"	"168475.61"	"104643.01"	"28351.922"
"1"	"A1"	"16"	"173333.66"	"106581.8"	"29073.188"
"1"	"A1"	"17"	"175267.3"	"107456.35"	"29239.934"
"1"	"A1"	"18"	"176961.08"	"107874.41"	"29572.951"
"1"	"A1"	"19"	"178510.36"	"108253.76"	"29908.87"
"1"	"A1"	"20"	"179250.92"	"108408.56"	"29985.225"
"1"	"A1"	"21"	"181254.47"	"109262.984"	"30139.162"
"1"	"A1"	"22"	"182479.47"	"109629.7"	"30290.896"
"1"	"A1"	"23"	"183290.23"	"109658.15"	"30502.012"
"1"	"A1"	"24"	"184180.28"	"109991.87"	"30747.309"
"1"	"A1"	"25"	"185840.27"	"110705.92"	"31116.883"
"1"	"A1"	"26"	"187112.89"	"111174.46"	"31476.707"
"1"	"A1"	"27"	"188529.23"	"111500.02"	"31796.785"
"1"	"A1"	"28"	"189359.2"	"111527.72"	"32566.557"
"1"	"A1"	"29"	"190383.75"	"112097.836"	"33827.676"
"1"	"A1"	"30"	"191220.89"	"112501.39"	"36032.11"
"1"	"A1"	"31"	"192106.81"	"112805.4"	"39735.664"
"1"	"A1"	"32"	"192972.2"	"113262.375"	"46215.773"
"1"	"A1"	"33"	"194142.77"	"113428.78"	"56519.395"
"1"	"A1"	"34"	"195062.72"	"113830.484"	"71522.83"
"1"	"A1"	"35"	"195753.08"	"114094.945"	"90981.016"
"1"	"A1"	"36"	"196369.8"	"114440.19"	"114516.77"
"1"	"A1"	"37"	"197616.17"	"114514.18"	"139926.5"
"1"	"A1"	"38"	"198481.56"	"114686.03"	"161519.39"
"1"	"A1"	"39"	"199175.72"	"114997.53"	"175291.58"
"1"	"A1"	"40"	"199725.2"	"115102.59"	"182319.7"
"1"	"A1"	"41"	"200552.67"	"115515.25"	"186130.73"
"1"	"A1"	"42"	"201255.97"	"115630.69"	"188248.42"
"1"	"A1"	"43"	"202069.12"	"115912.18"	"189186.34"
"1"	"A1"	"44"	"203224.39"	"115916.99"	"190185.83"
"1"	"A1"	"45"	"203899.42"	"116197.484"	"190914.8"
"2"	"A2"	"1"	"170985.98"	"110224.78"	"32122.402"
"2"	"A2"	"2"	"170676.12"	"109991.586"	"32072.79"
"2"	"A2"	"3"	"169833.33"	"109562.28"	"31968.11"
"2"	"A2"	"4"	"169334.6"	"109268.61"	"31900.633"
"2"	"A2"	"5"	"168889.14"	"108797.1"	"31869.273"
"2"	"A2"	"6"	"168610.6"	"108468.6"	"31787.467"
"2"	"A2"	"7"	"168463.4"	"107994.24"	"31621.736"
"2"	"A2"	"8"	"168389.38"	"107841.67"	"31582.781"
"2"	"A2"	"9"	"168374.66"	"107846.2"	"31588.885"
"2"	"A2"	"10"	"168375.81"	"107777.58"	"31617.494"
"2"	"A2"	"11"	"168399.75"	"107655.68"	"31734.63"
"2"	"A2"	"12"	"168496.58"	"107570.14"	"31711.334"
"2"	"A2"	"13"	"168486.38"	"107454.5"	"31677.25"
"2"	"A2"	"14"	"168560.45"	"107466.51"	"31738.965"
"2"	"A2"	"15"	"169088.25"	"107721.11"	"31982.863"
"2"	"A2"	"16"	"169948.27"	"108231.01"	"32127.062"
"2"	"A2"	"17"	"171776.97"	"108904.75"	"32255.469"
"2"	"A2"	"18"	"174045.69"	"109688.09"	"32590.441"
"2"	"A2"	"19"	"175321.73"	"110187.61"	"32828.26"
"2"	"A2"	"20"	"176334.12"	"110532.57"	"33146.695"
"2"	"A2"	"21"	"177125.27"	"110825.52"	"33234.605"
"2"	"A2"	"22"	"178382.0"	"111256.23"	"33375.133"
"2"	"A2"	"23"	"178940.34"	"111575.734"	"33378.418"
"2"	"A2"	"24"	"179770.77"	"111736.84"	"33670.25"
"2"	"A2"	"25"	"180658.2"	"112115.8"	"33869.5"
"2"	"A2"	"26"	"181067.84"	"112227.82"	"33976.734"
"2"	"A2"	"27"	"182043.36"	"112571.9"	"34489.195"
"2"	"A2"	"28"	"183111.89"	"112906.625"	"34876.855"
"2"	"A2"	"29"	"183992.64"	"113332.125"	"35575.86"
"2"	"A2"	"30"	"184994.92"	"113622.016"	"36894.79"
"2"	"A2"	"31"	"186190.03"	"113996.71"	"39349.82"
"2"	"A2"	"32"	"186912.62"	"114283.87"	"43592.45"
"2"	"A2"	"33"	"187482.05"	"114435.43"	"50754.8"
"2"	"A2"	"34"	"187842.28"	"114715.36"	"62162.83"
"2"	"A2"	"35"	"189040.31"	"115310.086"	"79071.69"
"2"	"A2"	"36"	"189881.66"	"115728.21"	"101796.83"
"2"	"A2"	"37"	"190643.16"	"115849.336"	"129672.67"
"2"	"A2"	"38"	"191572.38"	"115856.2"	"157244.17"
"2"	"A2"	"39"	"192353.0"	"116151.2"	"176743.25"
"2"	"A2"	"40"	"193319.95"	"116353.01"	"188922.95"
"2"	"A2"	"41"	"194423.83"	"116591.37"	"196554.03"
"2"	"A2"	"42"	"195409.97"	"116873.73"	"201393.94"
"2"	"A2"	"43"	"196608.62"	"117094.73"	"204303.48"
"2"	"A2"	"44"	"197374.84"	"117057.85"	"206238.92"
"2"	"A2"	"45"	"197979.9"	"117094.32"	"207282.28"
"3"	"A3"	"1"	"165905.36"	"107158.195"	"32763.008"
"3"	"A3"	"2"	"165470.4"	"106941.8"	"32623.47"
"3"	"A3"	"3"	"164555.84"	"106340.164"	"32490.863"
"3"	"A3"	"4"	"164071.05"	"105759.13"	"32362.014"
"3"	"A3"	"5"	"163863.31"	"105494.484"	"32320.424"
"3"	"A3"	"6"	"163578.17"	"105226.164"	"32325.338"
"3"	"A3"	"7"	"163382.6"	"104928.61"	"32363.299"
"3"	"A3"	"8"	"163285.97"	"104661.56"	"32358.055"
"3"	"A3"	"9"	"163159.44"	"104598.66"	"32370.89"
"3"	"A3"	"10"	"163184.7"	"104652.57"	"32427.754"
"3"	"A3"	"11"	"163457.1"	"104610.125"	"32450.19"
"3"	"A3"	"12"	"163702.53"	"104497.29"	"32433.055"
"3"	"A3"	"13"	"164124.81"	"104608.33"	"32510.467"
"3"	"A3"	"14"	"166375.1"	"105579.336"	"32889.72"
"3"	"A3"	"15"	"170846.83"	"107512.984"	"33555.332"
"3"	"A3"	"16"	"173575.98"	"108598.914"	"33926.67"
"3"	"A3"	"17"	"175400.6"	"109172.67"	"34144.727"
"3"	"A3"	"18"	"177365.31"	"109669.984"	"34475.2"
"3"	"A3"	"19"	"179106.1"	"110550.96"	"34737.785"
"3"	"A3"	"20"	"180361.94"	"110845.55"	"35011.812"
"3"	"A3"	"21"	"181718.84"	"111422.32"	"35290.047"
"3"	"A3"	"22"	"182533.78"	"111735.05"	"35615.594"
"3"	"A3"	"23"	"183331.56"	"111895.14"	"36229.523"
"3"	"A3"	"24"	"185026.17"	"112541.21"	"37047.453"
"3"	"A3"	"25"	"186597.27"	"112989.664"	"38634.492"
"3"	"A3"	"26"	"187714.75"	"113331.13"	"41224.043"
"3"	"A3"	"27"	"188505.94"	"113638.99"	"45919.12"
"3"	"A3"	"28"	"189904.56"	"114086.53"	"53755.844"
"3"	"A3"	"29"	"191267.44"	"114573.375"	"65536.71"
"3"	"A3"	"30"	"192571.9"	"114968.766"	"81839.805"
"3"	"A3"	"31"	"193466.39"	"115354.33"	"101877.586"
"3"	"A3"	"32"	"194372.05"	"115820.586"	"124565.68"
"3"	"A3"	"33"	"195954.95"	"116459.43"	"148984.88"
"3"	"A3"	"34"	"196878.94"	"116769.0"	"173153.98"
"3"	"A3"	"35"	"197674.78"	"116983.91"	"192722.23"
"3"	"A3"	"36"	"198425.84"	"117308.516"	"204524.88"
"3"	"A3"	"37"	"199326.05"	"117436.54"	"210719.95"
"3"	"A3"	"38"	"200179.56"	"117694.97"	"213795.33"
"3"	"A3"	"39"	"200954.56"	"117956.805"	"215762.64"
"3"	"A3"	"40"	"201818.53"	"118217.83"	"217048.23"
"3"	"A3"	"41"	"202622.86"	"118382.305"	"217767.9"
"3"	"A3"	"42"	"203651.6"	"118520.125"	"218957.34"
"3"	"A3"	"43"	"204139.58"	"118675.484"	"219489.64"
"3"	"A3"	"44"	"204765.98"	"118726.65"	"220040.12"
"3"	"A3"	"45"	"205483.31"	"118982.89"	"220664.52"
"4"	"A4"	"1"	"167616.53"	"109260.99"	"33550.14"
"4"	"A4"	"2"	"167328.95"	"109097.68"	"33559.62"
"4"	"A4"	"3"	"167080.47"	"108665.586"	"33482.863"
"4"	"A4"	"4"	"166872.11"	"108374.375"	"33427.03"
"4"	"A4"	"5"	"166433.58"	"108159.84"	"33409.723"
"4"	"A4"	"6"	"166081.08"	"107850.195"	"33355.582"
"4"	"A4"	"7"	"166036.02"	"107670.555"	"33254.36"
"4"	"A4"	"8"	"166122.97"	"107462.35"	"33241.207"
"4"	"A4"	"9"	"166135.64"	"107387.93"	"33305.74"
"4"	"A4"	"10"	"166235.42"	"107437.945"	"33370.22"
"4"	"A4"	"11"	"166476.92"	"107345.68"	"33379.266"
"4"	"A4"	"12"	"166749.81"	"107091.414"	"33485.97"
"4"	"A4"	"13"	"166814.9"	"107079.234"	"33587.367"
"4"	"A4"	"14"	"167129.23"	"107279.78"	"33618.992"
"4"	"A4"	"15"	"167302.78"	"107314.58"	"33599.87"
"4"	"A4"	"16"	"167941.8"	"107501.53"	"33783.77"
"4"	"A4"	"17"	"171179.64"	"108570.445"	"34269.387"
"4"	"A4"	"18"	"174351.42"	"109741.73"	"34711.07"
"4"	"A4"	"19"	"178119.4"	"111328.32"	"35279.62"
"4"	"A4"	"20"	"180237.55"	"112136.31"	"35564.0"
"4"	"A4"	"21"	"181675.08"	"112439.56"	"35866.62"
"4"	"A4"	"22"	"182637.28"	"112794.086"	"35976.375"
"4"	"A4"	"23"	"184047.95"	"113168.51"	"36246.816"
"4"	"A4"	"24"	"184938.47"	"113585.53"	"36714.555"
"4"	"A4"	"25"	"186021.14"	"113772.32"	"37383.508"
"4"	"A4"	"26"	"186937.55"	"114261.89"	"38438.86"
"4"	"A4"	"27"	"187677.98"	"114398.87"	"40387.67"
"4"	"A4"	"28"	"188612.94"	"114709.766"	"43772.508"
"4"	"A4"	"29"	"189666.58"	"115109.43"	"49672.297"
"4"	"A4"	"30"	"190894.97"	"115477.94"	"59176.85"
"4"	"A4"	"31"	"192071.1"	"115869.53"	"73484.33"
"4"	"A4"	"32"	"192784.47"	"116375.65"	"92742.59"
"4"	"A4"	"33"	"193770.72"	"116855.69"	"115946.26"
"4"	"A4"	"34"	"195043.78"	"117102.79"	"141754.17"
"4"	"A4"	"35"	"195911.06"	"117408.45"	"168723.27"
"4"	"A4"	"36"	"196645.4"	"117620.1"	"191418.36"
"4"	"A4"	"37"	"197606.19"	"117727.25"	"205298.55"
"4"	"A4"	"38"	"198312.12"	"118004.305"	"213032.9"
"4"	"A4"	"39"	"199161.83"	"118197.42"	"217423.66"
"4"	"A4"	"40"	"200372.67"	"118381.88"	"219904.94"
"4"	"A4"	"41"	"200631.42"	"118439.59"	"221625.97"
"4"	"A4"	"42"	"201767.7"	"118990.875"	"222985.06"
"4"	"A4"	"43"	"202681.64"	"119053.68"	"223941.52"
"4"	"A4"	"44"	"203731.36"	"119072.71"	"224700.61"
"4"	"A4"	"45"	"204057.1"	"119268.62"	"225153.88"
"5"	"A5"	"1"	"169777.38"	"110689.336"	"34480.523"
"5"	"A5"	"2"	"169647.1"	"110444.86"	"34420.01"
"5"	"A5"	"3"	"169127.44"	"109877.89"	"34363.84"
"5"	"A5"	"4"	"168702.58"	"109415.664"	"34347.645"
"5"	"A5"	"5"	"168490.03"	"109088.73"	"34274.496"
"5"	"A5"	"6"	"168259.56"	"108855.195"	"34235.895"
"5"	"A5"	"7"	"168112.4"	"108604.38"	"34237.61"
"5"	"A5"	"8"	"168034.94"	"108504.28"	"34274.266"
"5"	"A5"	"9"	"168024.84"	"108437.07"	"34276.0"
"5"	"A5"	"10"	"168046.33"	"108234.85"	"34292.88"
"5"	"A5"	"11"	"168157.33"	"108253.37"	"34412.32"
"5"	"A5"	"12"	"168942.72"	"108597.734"	"34447.832"
"5"	"A5"	"13"	"170605.03"	"108994.49"	"34680.695"
"5"	"A5"	"14"	"172996.12"	"109779.36"	"35200.902"
"5"	"A5"	"15"	"177504.4"	"111468.78"	"35830.28"
"5"	"A5"	"16"	"179497.77"	"112214.04"	"36016.484"
"5"	"A5"	"17"	"179839.7"	"112380.59"	"36054.395"
"5"	"A5"	"18"	"180185.67"	"112387.66"	"36174.3"
"5"	"A5"	"19"	"180732.77"	"112240.1"	"36211.457"
"5"	"A5"	"20"	"181161.4"	"112294.45"	"36365.434"
"5"	"A5"	"21"	"181930.23"	"112513.63"	"36450.65"
"5"	"A5"	"22"	"182371.33"	"112735.945"	"36586.42"
"5"	"A5"	"23"	"183100.17"	"112832.53"	"36717.457"
"5"	"A5"	"24"	"184051.23"	"113141.98"	"37027.78"
"5"	"A5"	"25"	"184853.77"	"113412.016"	"37485.676"
"5"	"A5"	"26"	"185432.5"	"113348.97"	"38198.668"
"5"	"A5"	"27"	"186123.73"	"113552.63"	"39458.504"
"5"	"A5"	"28"	"185980.53"	"113535.266"	"41833.86"
"5"	"A5"	"29"	"185802.39"	"113363.12"	"46634.76"
"5"	"A5"	"30"	"186801.5"	"113478.93"	"56371.188"
"5"	"A5"	"31"	"187669.47"	"113744.1"	"74625.53"
"5"	"A5"	"32"	"188032.53"	"113876.45"	"100408.31"
"5"	"A5"	"33"	"188667.45"	"113796.766"	"124165.875"
"5"	"A5"	"34"	"189145.38"	"113851.0"	"142304.36"
"5"	"A5"	"35"	"189354.75"	"113751.72"	"155827.23"
"5"	"A5"	"36"	"189692.52"	"113993.83"	"165856.22"
"5"	"A5"	"37"	"190512.95"	"114188.43"	"173234.66"
"5"	"A5"	"38"	"190928.52"	"114218.07"	"178360.06"
"5"	"A5"	"39"	"191197.1"	"114187.28"	"181752.88"
"5"	"A5"	"40"	"191424.83"	"114326.84"	"184003.25"
"5"	"A5"	"41"	"192034.72"	"114582.29"	"185615.48"
"5"	"A5"	"42"	"192626.12"	"114655.195"	"186570.88"
"5"	"A5"	"43"	"193226.72"	"114608.46"	"187428.16"
